['1101', '32.50', '32.05', '32.40', '32.15', '10604', 'tse']
['1102', '40.25', '40.10', '40.10', '40.25', '1755', 'tse']
['1103', '18.15', '17.85', '17.95', '18.10', '239', 'tse']
['1104', '29.60', '29.25', '29.25', '29.40', '805', 'tse']
['1108', '15.65', '15.50', '15.55', '15.60', '824', 'tse']
['1109', '17.75', '17.65', '17.75', '17.75', '214', 'tse']
['1110', '18.15', '17.95', '18.05', '18.05', '293', 'tse']
['1201', '18.90', '18.70', '18.85', '18.80', '257', 'tse']
['1203', '54.90', '54.20', '54.70', '54.90', '30', 'tse']
['1210', '59.40', '58.90', '58.90', '59.00', '1769', 'tse']
['1213', '7.09', '7.02', '7.02', '7.05', '53', 'tse']
['1215', '97.50', '97.00', '97.00', '97.30', '228', 'tse']
['1216', '75.60', '75.00', '75.30', '75.50', '4820', 'tse']
['1217', '11.95', '11.85', '11.95', '11.90', '663', 'tse']
['1218', '20.95', '20.65', '20.70', '20.80', '581', 'tse']
['1219', '19.05', '18.95', '18.95', '18.95', '199', 'tse']
['1220', '14.00', '13.95', '14.00', '13.95', '51', 'tse']
['1225', '55.70', '54.70', '54.70', '55.50', '33', 'tse']
['1227', '38.10', '37.90', '37.95', '38.00', '614', 'tse']
['1229', '65.10', '64.70', '64.70', '64.80', '784', 'tse']
['1231', '87.50', '86.40', '87.00', '87.20', '285', 'tse']
['1232', '145.00', '143.00', '143.00', '144.50', '167', 'tse']
['1233', '34.75', '34.55', '34.70', '34.75', '12', 'tse']
['1234', '40.20', '39.90', '40.05', '39.95', '219', 'tse']
['1235', '83.70', '82.90', '83.20', '83.70', '22', 'tse']
['1236', '24.10', '23.85', '23.95', '24.05', '91', 'tse']
['1240', '50.50', '49.65', '50.50', '49.65', '29', 'otc']
['1256', '262.00', '261.00', '261.00', '261.50', '11', 'tse']
['1259', '75.90', '75.60', '75.80', '75.90', '16', 'otc']
['1264', '301.00', '299.50', '299.50', '300.00', '7', 'otc']
['1268', '155.00', '151.50', '152.50', '154.00', '100', 'otc']
['1301', '72.20', '71.70', '71.80', '72.10', '4072', 'tse']
['1303', '59.90', '59.50', '59.50', '59.90', '3405', 'tse']
['1304', '18.60', '18.40', '18.50', '18.40', '624', 'tse']
['1305', '20.70', '20.45', '20.60', '20.50', '619', 'tse']
['1307', '26.85', '26.40', '26.40', '26.70', '269', 'tse']
['1308', '22.50', '22.10', '22.30', '22.15', '607', 'tse']
['1309', '17.25', '17.05', '17.10', '17.10', '354', 'tse']
['1310', '14.35', '14.10', '14.15', '14.25', '440', 'tse']
['1312', '14.35', '14.20', '14.20', '14.25', '1071', 'tse']
['1313', '15.10', '14.95', '15.00', '15.05', '929', 'tse']
['1314', '9.57', '9.49', '9.51', '9.49', '7475', 'tse']
['1315', '72.40', '71.70', '71.70', '71.80', '16', 'tse']
['1316', '19.60', '18.10', '18.20', '19.60', '34029', 'tse']
['1319', '95.70', '92.10', '93.50', '95.00', '4807', 'tse']
['1321', '36.30', '36.05', '36.05', '36.15', '109', 'tse']
['1323', '31.15', '31.10', '31.15', '31.15', '46', 'tse']
['1324', '17.20', '16.90', '17.05', '16.90', '178', 'tse']
['1325', '35.90', '33.90', '34.00', '35.10', '2032', 'tse']
['1326', '56.70', '56.10', '56.40', '56.40', '3407', 'tse']
['1336', '23.25', '22.60', '23.20', '22.60', '223', 'otc']
['1337', '7.96', '7.80', '7.85', '7.80', '502', 'tse']
['1338', '39.50', '38.80', '39.50', '39.00', '141', 'tse']
['1339', '69.70', '68.00', '68.00', '69.10', '425', 'tse']
['1340', '11.20', '11.10', '11.20', '11.15', '49', 'tse']
['1341', '61.50', '61.40', '61.50', '61.40', '5', 'tse']
['1342', '129.00', '124.00', '124.50', '128.50', '2786', 'tse']
['1402', '31.65', '31.40', '31.50', '31.40', '2429', 'tse']
['1409', '15.60', '15.50', '15.55', '15.60', '1144', 'tse']
['1410', '37.35', '36.90', '36.95', '37.00', '42', 'tse']
['1413', '9.18', '9.13', '9.15', '9.16', '76', 'tse']
['1414', '21.50', '19.90', '20.20', '20.05', '1432', 'tse']
['1416', '12.30', '12.05', '12.05', '12.30', '423', 'tse']
['1417', '12.05', '11.95', '12.00', '12.05', '314', 'tse']
['1418', '29.45', '28.20', '28.20', '28.70', '38', 'tse']
['1419', '46.45', '45.50', '45.90', '45.75', '65', 'tse']
['1423', '31.15', '31.00', '31.00', '31.05', '15', 'tse']
['1432', '23.15', '22.40', '22.45', '23.10', '1227', 'tse']
['1434', '23.85', '23.65', '23.75', '23.75', '762', 'tse']
['1435', '52.20', '50.70', '51.50', '50.70', '8', 'tse']
['1436', '91.30', '90.40', '91.30', '90.50', '72', 'tse']
['1437', '31.30', '31.05', '31.15', '31.25', '82', 'tse']
['1438', '49.30', '45.05', '49.30', '45.20', '1481', 'tse']
['1439', '25.10', '24.75', '25.05', '24.85', '23', 'tse']
['1440', '15.50', '15.35', '15.45', '15.45', '767', 'tse']
['1441', '14.00', '13.95', '14.00', '13.95', '26', 'tse']
['1442', '37.95', '37.55', '37.55', '37.55', '431', 'tse']
['1443', '28.65', '28.55', '28.65', '28.60', '20', 'tse']
['1444', '10.20', '10.10', '10.15', '10.15', '846', 'tse']
['1445', '24.05', '23.75', '23.80', '23.85', '244', 'tse']
['1446', '35.20', '35.05', '35.20', '35.05', '76', 'tse']
['1447', '8.81', '8.45', '8.81', '8.45', '4143', 'tse']
['1449', '21.95', '21.45', '21.75', '21.55', '1334', 'tse']
['1451', '19.20', '19.05', '19.10', '19.10', '125', 'tse']
['1452', '17.00', '16.85', '16.95', '17.00', '123', 'tse']
['1453', '14.80', '14.55', '14.65', '14.65', '564', 'tse']
