['1101', '32.15', '31.85', '32.05', '31.85', '17159', 'tse']
['1102', '40.30', '39.95', '40.15', '40.10', '2756', 'tse']
['1103', '18.00', '17.80', '17.95', '17.85', '358', 'tse']
['1104', '29.40', '29.10', '29.35', '29.25', '679', 'tse']
['1108', '15.65', '15.50', '15.60', '15.55', '693', 'tse']
['1109', '17.75', '17.65', '17.75', '17.65', '262', 'tse']
['1110', '18.10', '17.85', '17.95', '18.00', '137', 'tse']
['1201', '18.75', '18.70', '18.75', '18.75', '132', 'tse']
['1203', '54.40', '53.80', '54.20', '54.40', '15', 'tse']
['1210', '59.30', '58.00', '59.20', '58.50', '1592', 'tse']
['1213', '7.10', '7.05', '7.09', '7.05', '47', 'tse']
['1215', '97.70', '96.70', '97.00', '97.00', '329', 'tse']
['1216', '75.90', '75.00', '75.00', '75.30', '6898', 'tse']
['1217', '11.90', '11.75', '11.90', '11.85', '1184', 'tse']
['1218', '20.90', '20.70', '20.80', '20.75', '678', 'tse']
['1219', '19.00', '18.90', '18.95', '18.90', '277', 'tse']
['1220', '13.95', '13.85', '13.95', '13.90', '106', 'tse']
['1225', '55.00', '54.90', '54.90', '55.00', '4', 'tse']
['1227', '38.00', '37.70', '38.00', '37.80', '423', 'tse']
['1229', '65.40', '64.40', '64.80', '64.60', '1182', 'tse']
['1231', '87.20', '86.70', '87.20', '87.20', '186', 'tse']
['1232', '145.00', '144.00', '144.00', '144.50', '56', 'tse']
['1233', '35.00', '34.65', '34.70', '34.80', '10', 'tse']
['1234', '40.00', '39.90', '39.95', '39.90', '99', 'tse']
['1235', '84.00', '83.30', '83.30', '84.00', '9', 'tse']
['1236', '25.65', '24.40', '25.65', '24.40', '63', 'tse']
['1240', '50.10', '49.50', '49.65', '49.85', '34', 'otc']
['1256', '259.00', '257.00', '258.00', '259.00', '5', 'tse']
['1259', '75.50', '75.40', '75.50', '75.50', '8', 'otc']
['1264', '299.50', '298.50', '299.50', '298.50', '11', 'otc']
['1268', '155.00', '152.00', '154.00', '152.50', '54', 'otc']
['1301', '71.90', '71.50', '71.90', '71.80', '5341', 'tse']
['1303', '59.80', '58.90', '59.60', '58.90', '11809', 'tse']
['1304', '18.35', '18.10', '18.35', '18.20', '761', 'tse']
['1305', '20.85', '20.25', '20.60', '20.30', '1234', 'tse']
['1307', '26.85', '26.35', '26.75', '26.40', '359', 'tse']
['1308', '22.25', '21.80', '22.15', '21.85', '971', 'tse']
['1309', '17.10', '16.70', '17.05', '16.75', '586', 'tse']
['1310', '14.35', '14.10', '14.25', '14.20', '508', 'tse']
['1312', '14.30', '14.05', '14.25', '14.10', '2847', 'tse']
['1313', '15.10', '14.75', '15.05', '14.80', '1051', 'tse']
['1314', '9.62', '9.41', '9.52', '9.44', '11193', 'tse']
['1315', '72.00', '71.80', '71.80', '72.00', '7', 'tse']
['1316', '21.10', '18.80', '20.15', '19.10', '62917', 'tse']
['1319', '103.50', '94.90', '95.80', '99.10', '19139', 'tse']
['1321', '36.45', '36.05', '36.10', '36.10', '196', 'tse']
['1323', '31.15', '31.10', '31.15', '31.15', '21', 'tse']
['1324', '17.20', '16.40', '17.10', '16.70', '259', 'tse']
['1325', '34.95', '33.90', '34.95', '33.90', '1272', 'tse']
['1326', '56.50', '55.90', '56.20', '56.10', '3623', 'tse']
['1336', '22.65', '21.95', '22.60', '22.10', '176', 'otc']
['1337', '7.94', '7.66', '7.82', '7.68', '472', 'tse']
['1338', '39.15', '38.00', '39.15', '38.40', '189', 'tse']
['1339', '72.40', '69.30', '69.80', '71.10', '1069', 'tse']
['1340', '11.20', '11.05', '11.20', '11.10', '48', 'tse']
['1341', '61.40', '61.40', '61.40', '61.40', '3', 'tse']
['1342', '133.00', '126.00', '131.00', '129.00', '2324', 'tse']
['1402', '31.90', '31.40', '31.40', '31.65', '6018', 'tse']
['1409', '15.60', '15.40', '15.60', '15.40', '2037', 'tse']
['1410', '37.20', '36.70', '37.00', '36.85', '210', 'tse']
['1413', '9.15', '9.02', '9.15', '9.04', '51', 'tse']
['1414', '20.10', '19.25', '20.05', '19.25', '950', 'tse']
['1416', '12.40', '12.10', '12.30', '12.20', '440', 'tse']
['1417', '12.05', '11.95', '12.00', '12.00', '111', 'tse']
['1418', '29.30', '28.55', '28.70', '29.00', '63', 'tse']
['1419', '45.50', '45.30', '45.50', '45.30', '38', 'tse']
['1423', '31.30', '31.10', '31.10', '31.15', '141', 'tse']
['1432', '23.80', '22.55', '23.05', '23.75', '1539', 'tse']
['1434', '23.70', '23.60', '23.65', '23.60', '1057', 'tse']
['1435', '51.20', '50.00', '50.50', '51.20', '5', 'tse']
['1436', '90.90', '89.20', '90.90', '90.70', '76', 'tse']
['1437', '31.20', '31.00', '31.15', '31.10', '112', 'tse']
['1438', '47.00', '44.55', '45.20', '45.35', '693', 'tse']
['1439', '25.00', '24.75', '24.85', '24.90', '33', 'tse']
['1440', '15.50', '15.20', '15.40', '15.25', '828', 'tse']
['1441', '13.95', '13.60', '13.95', '13.90', '18', 'tse']
['1442', '37.85', '37.60', '37.60', '37.70', '354', 'tse']
['1443', '28.60', '28.40', '28.60', '28.45', '45', 'tse']
['1444', '10.20', '10.05', '10.20', '10.10', '1517', 'tse']
['1445', '24.85', '23.50', '23.95', '24.35', '951', 'tse']
['1446', '35.05', '34.65', '35.05', '34.80', '121', 'tse']
['1447', '8.50', '8.30', '8.43', '8.31', '2837', 'tse']
['1449', '21.75', '21.20', '21.55', '21.55', '802', 'tse']
['1451', '19.15', '18.95', '19.10', '19.00', '110', 'tse']
['1452', '17.00', '16.85', '17.00', '16.85', '68', 'tse']
['1453', '14.85', '14.65', '14.65', '14.80', '137', 'tse']
['1454', '16.55', '16.35', '16.55', '16.40', '18', 'tse']
['1455', '12.65', '12.10', '12.40', '12.60', '3838', 'tse']
['1456', '17.45', '16.55', '16.65', '17.30', '149', 'tse']
['1457', '18.50', '18.40', '18.40', '18.45', '154', 'tse']
['1459', '9.85', '9.61', '9.85', '9.75', '52', 'tse']
['1460', '7.42', '7.28', '7.33', '7.31', '593', 'tse']
['1463', '18.65', '18.40', '18.50', '18.50', '1095', 'tse']
['1464', '13.80', '13.50', '13.75', '13.50', '343', 'tse']
['1465', '14.70', '14.55', '14.60', '14.55', '82', 'tse']
['1466', '13.55', '13.10', '13.55', '13.15', '285', 'tse']
['1467', '11.15', '10.90', '11.15', '10.95', '234', 'tse']
['1468', '14.35', '14.10', '14.25', '14.35', '38', 'tse']
['1470', '21.20', '20.30', '20.55', '20.30', '8', 'tse']
['1471', '17.20', '16.55', '17.00', '16.65', '1701', 'tse']
['1472', '69.50', '68.30', '69.20', '68.30', '72', 'tse']
['1473', '29.30', '28.55', '29.30', '28.85', '53', 'tse']
