['1101', '32.55', '32.05', '32.40', '32.10', '29399', 'tse']
['1102', '40.45', '40.00', '40.10', '40.45', '5280', 'tse']
['1103', '18.00', '17.70', '17.85', '17.70', '487', 'tse']
['1104', '29.75', '29.25', '29.30', '29.70', '1161', 'tse']
['1108', '15.75', '15.55', '15.55', '15.75', '646', 'tse']
['1109', '17.90', '17.75', '17.75', '17.85', '448', 'tse']
['1110', '18.00', '17.85', '17.90', '17.90', '69', 'tse']
['1201', '19.00', '18.70', '18.75', '18.90', '704', 'tse']
['1203', '54.40', '53.80', '54.20', '54.40', '15', 'tse']
['1210', '58.90', '58.30', '58.60', '58.40', '1159', 'tse']
['1213', '7.10', '7.00', '7.04', '7.04', '63', 'tse']
['1215', '97.70', '96.80', '97.30', '97.10', '343', 'tse']
['1216', '76.70', '75.00', '75.00', '76.70', '10783', 'tse']
['1217', '11.90', '11.80', '11.90', '11.85', '657', 'tse']
['1218', '21.25', '20.75', '20.75', '21.20', '1005', 'tse']
['1219', '19.00', '18.85', '18.90', '18.90', '250', 'tse']
['1220', '14.00', '13.80', '13.90', '13.90', '61', 'tse']
['1225', '55.60', '55.10', '55.30', '55.60', '13', 'tse']
['1227', '38.00', '37.70', '37.80', '37.70', '463', 'tse']
['1229', '65.60', '64.50', '64.50', '65.50', '1673', 'tse']
['1231', '87.50', '86.90', '86.90', '86.90', '129', 'tse']
['1232', '145.50', '144.50', '144.50', '144.50', '97', 'tse']
['1233', '34.80', '34.70', '34.80', '34.80', '10', 'tse']
['1234', '40.10', '39.90', '39.90', '39.95', '208', 'tse']
['1235', '84.20', '83.30', '83.30', '84.20', '15', 'tse']
['1236', '24.40', '24.10', '24.30', '24.35', '41', 'tse']
['1240', '50.10', '49.80', '50.00', '49.80', '47', 'otc']
['1256', '255.50', '252.50', '253.00', '255.00', '18', 'tse']
['1259', '75.90', '75.20', '75.40', '75.60', '11', 'otc']
['1264', '300.00', '299.50', '300.00', '299.50', '7', 'otc']
['1268', '155.00', '151.50', '151.50', '154.50', '90', 'otc']
['1301', '72.20', '71.50', '71.80', '71.70', '9951', 'tse']
['1303', '59.70', '58.50', '58.90', '59.70', '11146', 'tse']
['1304', '18.40', '18.10', '18.15', '18.20', '722', 'tse']
['1305', '20.55', '20.25', '20.30', '20.35', '880', 'tse']
['1307', '26.70', '26.35', '26.40', '26.70', '283', 'tse']
['1308', '22.05', '21.75', '21.90', '22.05', '656', 'tse']
['1309', '16.85', '16.60', '16.70', '16.80', '481', 'tse']
['1310', '14.30', '14.15', '14.20', '14.25', '318', 'tse']
['1312', '14.20', '14.05', '14.10', '14.15', '1817', 'tse']
['1313', '14.80', '14.55', '14.75', '14.65', '1763', 'tse']
['1314', '9.44', '9.38', '9.43', '9.40', '10616', 'tse']
['1315', '72.00', '72.00', '72.00', '72.00', '11', 'tse']
['1316', '21.00', '19.40', '19.80', '21.00', '63476', 'tse']
['1319', '101.00', '96.90', '97.70', '98.90', '8650', 'tse']
['1321', '36.15', '35.95', '36.05', '36.00', '293', 'tse']
['1323', '31.15', '31.10', '31.15', '31.10', '55', 'tse']
['1324', '16.80', '16.50', '16.50', '16.70', '79', 'tse']
['1325', '35.65', '34.15', '34.45', '34.30', '1514', 'tse']
['1326', '57.20', '56.20', '56.60', '57.20', '8005', 'tse']
['1336', '22.30', '21.80', '22.10', '22.30', '105', 'otc']
['1337', '7.86', '7.69', '7.69', '7.76', '548', 'tse']
['1338', '38.55', '38.05', '38.45', '38.35', '58', 'tse']
['1339', '73.00', '71.50', '72.60', '72.10', '782', 'tse']
['1340', '11.10', '11.00', '11.10', '11.00', '85', 'tse']
['1341', '61.70', '61.40', '61.40', '61.70', '11', 'tse']
['1342', '129.50', '127.50', '129.50', '129.50', '932', 'tse']
['1402', '32.60', '31.65', '31.65', '32.60', '15254', 'tse']
['1409', '15.45', '15.25', '15.35', '15.25', '3118', 'tse']
['1410', '37.40', '36.70', '36.80', '36.85', '117', 'tse']
['1413', '9.15', '9.00', '9.05', '9.15', '46', 'tse']
['1414', '20.25', '19.35', '19.35', '19.80', '2182', 'tse']
['1416', '12.25', '12.10', '12.15', '12.20', '293', 'tse']
['1417', '12.05', '11.95', '11.95', '11.95', '125', 'tse']
['1418', '29.00', '27.85', '28.95', '28.35', '123', 'tse']
['1419', '45.70', '45.00', '45.30', '45.70', '44', 'tse']
['1423', '31.20', '31.10', '31.10', '31.10', '32', 'tse']
['1432', '24.85', '23.45', '23.70', '24.75', '1521', 'tse']
['1434', '23.75', '23.55', '23.60', '23.60', '1237', 'tse']
['1435', '--', '--', '--', '--', '0', 'tse']
['1436', '91.00', '90.00', '90.50', '91.00', '70', 'tse']
['1437', '31.30', '31.10', '31.20', '31.20', '89', 'tse']
['1438', '47.30', '45.65', '45.65', '46.70', '344', 'tse']
['1439', '25.00', '24.80', '25.00', '24.80', '25', 'tse']
['1440', '15.45', '15.20', '15.40', '15.45', '1009', 'tse']
['1441', '13.90', '13.80', '13.90', '13.90', '39', 'tse']
['1442', '38.80', '37.70', '37.70', '38.75', '1011', 'tse']
['1443', '28.60', '28.55', '28.55', '28.55', '31', 'tse']
['1444', '10.20', '10.05', '10.10', '10.10', '1167', 'tse']
['1445', '25.90', '24.35', '24.55', '25.80', '1556', 'tse']
['1446', '35.30', '34.90', '35.00', '34.95', '65', 'tse']
['1447', '8.43', '8.33', '8.35', '8.37', '1516', 'tse']
['1449', '22.90', '21.60', '21.90', '22.15', '2106', 'tse']
['1451', '19.10', '18.95', '19.00', '18.95', '79', 'tse']
['1452', '17.00', '16.85', '16.85', '16.95', '81', 'tse']
['1453', '15.60', '14.80', '14.80', '15.10', '545', 'tse']
['1454', '16.40', '16.20', '16.25', '16.20', '43', 'tse']
['1455', '12.75', '12.45', '12.55', '12.60', '2821', 'tse']
['1456', '19.00', '17.10', '17.30', '19.00', '1079', 'tse']
['1457', '18.55', '18.40', '18.45', '18.50', '123', 'tse']
['1459', '9.81', '9.75', '9.81', '9.76', '95', 'tse']
['1460', '7.40', '7.28', '7.31', '7.29', '528', 'tse']
['1463', '18.50', '18.25', '18.50', '18.25', '628', 'tse']
['1464', '13.60', '13.50', '13.55', '13.50', '134', 'tse']
['1465', '14.90', '14.60', '14.60', '14.80', '77', 'tse']
['1466', '13.65', '13.20', '13.30', '13.45', '256', 'tse']
['1467', '11.00', '10.90', '11.00', '10.95', '346', 'tse']
