[1101, 34.1, 32.4, 34.10, 32.40, 213135]
[1102, 39.85, 38.4, 39.80, 38.45, 23625]
[1103, 17.15, 16.15, 16.50, 16.25, 776]
[1104, 20.35, 19.8, 20.25, 20.00, 1910]
[1108, 10.35, 9.92, 10.30, 10.15, 1016]
[1109, 15.55, 15.05, 15.50, 15.50, 531]
[1110, 17.7, 17.1, 17.50, 17.35, 567]
[1201, 19.4, 18.25, 19.30, 18.65, 2157]
[1203, 32.1, 30.95, 31.55, 32.10, 132]
[1210, 43.9, 42.6, 43.35, 43.55, 3233]
[1213, 7.34, 6.85, 7.12, 6.90, 104]
[1215, 80.0, 77.4, 78.00, 78.60, 1481]
[1216, 67.0, 65.1, 65.10, 66.10, 40765]
[1217, 9.38, 8.73, 9.38, 9.07, 5277]
[1218, 36.05, 33.6, 34.80, 35.90, 2470]
[1219, 19.45, 18.75, 19.45, 19.10, 4301]
[1220, 14.4, 13.3, 14.40, 13.70, 1115]
[1225, 53.4, 51.0, 51.00, 53.40, 389]
[1227, 38.3, 36.8, 38.30, 37.35, 1837]
[1229, 49.6, 47.7, 49.60, 48.60, 5825]
[1231, 70.1, 67.5, 70.10, 68.40, 696]
[1232, 152.0, 149.5, 152.00, 150.50, 226]
[1233, 33.1, 32.25, 33.10, 32.55, 25]
[1234, 33.2, 32.65, 33.20, 32.95, 439]
[1235, 62.3, 59.7, 61.20, 60.60, 82]
[1236, 21.1, 18.5, 21.10, 19.25, 795]
[1240, 42.85, 41.3, 41.85, 42.30, 85]
[1256, 226.0, 216.5, 225.00, 225.00, 52]
[1258, 24.45, 20.5, 24.20, 20.50, 3279]
[1259, 74.3, 71.9, 74.30, 73.00, 64]
[1264, 256.0, 249.5, 256.00, 252.00, 28]
[1268, 114.0, 106.0, 113.00, 110.00, 171]
[1301, 85.4, 78.1, 85.00, 79.90, 71967]
[1303, 67.1, 62.6, 66.00, 64.20, 39662]
[1304, 20.4, 19.0, 20.10, 19.95, 7214]
[1305, 20.35, 19.1, 20.20, 19.70, 3805]
[1307, 21.1, 19.75, 20.60, 20.10, 520]
[1308, 26.9, 23.4, 26.90, 24.45, 11636]
[1309, 20.2, 18.8, 20.10, 19.25, 2004]
[1310, 13.4, 12.4, 13.10, 12.70, 2323]
[1312, 17.8, 16.65, 17.75, 17.10, 8747]
[1313, 12.65, 11.65, 12.30, 12.60, 7275]
[1314, 9.48, 9.0, 9.45, 9.16, 33899]
[1315, 67.9, 66.0, 67.40, 66.60, 56]
[1316, 13.2, 11.35, 13.15, 12.00, 9053]
[1319, 48.8, 44.6, 47.00, 48.20, 29391]
[1321, 34.4, 32.0, 34.40, 33.25, 1530]
[1323, 33.45, 32.65, 33.45, 33.20, 314]
[1324, 10.55, 10.05, 10.20, 10.25, 150]
[1325, 22.8, 21.15, 22.80, 21.95, 968]
[1326, 68.2, 65.1, 68.00, 65.80, 19131]
[1336, 25.55, 20.55, 25.50, 22.50, 2415]
