[1456, 16.25, 15.4, 15.95, 15.50, 384, tse]
[1457, 19.0, 18.65, 19.00, 19.00, 1049, tse]
[1459, 8.58, 8.3, 8.51, 8.30, 169, tse]
[1460, 7.3, 7.09, 7.13, 7.16, 2598, tse]
[1463, 14.55, 14.25, 14.45, 14.35, 519, tse]
[1464, 14.45, 14.15, 14.40, 14.15, 739, tse]
[1465, 14.1, 13.7, 13.90, 13.70, 268, tse]
[1466, 11.85, 11.5, 11.85, 11.85, 348, tse]
[1467, 12.45, 11.75, 12.25, 11.75, 16464, tse]
[1468, 13.6, 13.0, 13.20, 13.30, 224, tse]
[1470, 19.1, 18.15, 19.05, 18.30, 81, tse]
[1471, 8.42, 7.94, 8.00, 7.99, 2035, tse]
[1472, 22.95, 21.55, 22.80, 22.65, 34, tse]
[1473, 21.7, 20.85, 21.10, 21.40, 813, tse]
[1474, 12.3, 11.95, 12.20, 11.95, 393, tse]
[1475, 68.3, 64.1, 67.50, 66.10, 650, tse]
[1476, 482.0, 448.0, 479.50, 461.00, 4535, tse]
[1477, 250.0, 237.5, 242.00, 237.50, 5700, tse]
[1503, 61.5, 59.0, 59.30, 59.60, 731, tse]
[1504, 28.3, 27.7, 28.00, 27.75, 11984, tse]
[1506, 18.1, 17.1, 17.70, 17.50, 1449, tse]
[1512, 4.85, 3.29, 3.36, 4.85, 5317, tse]
[1513, 68.9, 63.6, 64.30, 68.30, 147165, tse]
[1514, 31.0, 29.85, 30.05, 30.05, 8007, tse]
[1515, 33.65, 32.3, 33.60, 32.70, 3290, tse]
[1516, 20.5, 20.0, 20.30, 20.35, 616, tse]
[1517, 22.7, 20.5, 22.70, 20.55, 7191, tse]
[1519, 49.9, 47.0, 48.45, 49.20, 26876, tse]
[1521, 36.1, 35.05, 35.50, 35.25, 86, tse]
[1522, 28.75, 27.5, 28.20, 27.55, 11594, tse]
[1524, 25.5, 24.3, 24.60, 24.60, 21421, tse]
[1525, 59.6, 57.8, 57.80, 58.50, 103, tse]
[1526, 46.75, 42.95, 45.25, 43.00, 3818, tse]
[1527, 41.8, 41.0, 41.40, 41.00, 909, tse]
[1528, 10.65, 10.15, 10.20, 10.40, 3229, tse]
[1529, 19.75, 18.2, 18.50, 19.65, 18751, tse]
[1530, 31.45, 30.55, 30.95, 30.55, 196, tse]
[1531, 14.25, 13.8, 13.95, 13.95, 581, tse]
[1532, 29.95, 28.9, 29.70, 28.90, 1171, tse]
[1533, 53.2, 50.6, 52.30, 51.30, 994, tse]
[1535, 42.8, 42.45, 42.50, 42.50, 213, tse]
[1536, 77.6, 73.4, 74.10, 73.40, 12263, tse]
[1537, 137.5, 135.5, 136.00, 137.00, 338, tse]
[1538, 7.3, 6.04, 6.18, 7.30, 157, tse]
[1539, 31.1, 29.95, 30.80, 30.00, 2028, tse]
[1540, 15.7, 15.3, 15.70, 15.45, 881, tse]
[1541, 35.25, 33.65, 35.25, 34.00, 91, tse]
[1558, 123.0, 117.0, 117.50, 119.50, 615, tse]
[1560, 124.5, 117.0, 121.00, 118.00, 21211, tse]
[1565, 253.0, 242.5, 251.50, 242.50, 578, otc]
[1568, 25.1, 24.15, 24.50, 24.15, 1625, tse]
[1569, 23.55, 22.9, 23.15, 23.05, 1002, otc]
[1570, 16.8, 16.5, 16.50, 16.50, 115, otc]
[1580, 88.9, 86.6, 87.70, 87.20, 445, otc]
[1582, 59.1, 58.1, 58.90, 58.20, 617, tse]
[1583, 62.5, 60.7, 62.50, 61.10, 42, tse]
