[1470, 18.4, 17.7, 18.30, 18.35, 117]
[1471, 7.82, 7.59, 7.68, 7.68, 728]
[1472, 26.0, 22.95, 23.80, 25.60, 80]
[1473, 21.5, 21.05, 21.10, 21.20, 309]
[1474, 12.15, 12.0, 12.10, 12.05, 160]
[1475, 71.6, 66.0, 67.00, 70.10, 911]
[1476, 509.0, 477.5, 493.00, 479.50, 2818]
[1477, 233.0, 224.0, 228.00, 228.00, 4922]
[1503, 68.1, 60.8, 68.10, 61.20, 6489]
[1504, 28.6, 28.2, 28.45, 28.25, 10314]
[1506, 17.8, 17.5, 17.60, 17.50, 1533]
[1512, 5.1, 4.75, 5.10, 4.85, 943]
[1513, 74.2, 70.8, 72.60, 71.20, 74689]
[1514, 32.65, 31.55, 32.20, 32.25, 19698]
[1515, 30.85, 28.65, 30.20, 30.00, 4870]
[1516, 22.15, 20.0, 21.00, 20.05, 4810]
[1517, 20.9, 20.3, 20.35, 20.40, 1648]
[1519, 53.4, 50.7, 52.20, 51.00, 36778]
[1521, 35.4, 34.5, 35.40, 34.70, 67]
[1522, 28.35, 26.95, 27.95, 27.15, 6130]
[1524, 24.75, 23.75, 24.30, 23.75, 10565]
[1525, 58.0, 57.2, 57.60, 57.70, 62]
[1526, 41.6, 39.95, 41.15, 40.05, 981]
[1527, 41.7, 41.15, 41.30, 41.35, 475]
[1528, 10.15, 9.92, 10.15, 9.92, 1232]
[1529, 24.7, 22.1, 23.10, 22.90, 37592]
[1530, 31.3, 31.1, 31.20, 31.10, 106]
[1531, 14.05, 13.7, 14.00, 13.85, 287]
[1532, 29.75, 29.1, 29.15, 29.60, 1150]
[1533, 50.2, 48.6, 50.20, 48.70, 551]
[1535, 43.8, 43.1, 43.10, 43.40, 411]
[1536, 68.7, 66.8, 67.90, 67.50, 4601]
[1537, 138.0, 136.0, 138.00, 137.50, 168]
[1538, 8.0, 7.28, 7.99, 7.99, 41]
[1539, 29.55, 28.0, 29.50, 28.00, 1352]
[1540, 15.65, 15.5, 15.60, 15.55, 306]
[1541, 33.95, 33.2, 33.70, 33.20, 26]
[1558, 120.0, 117.5, 119.50, 118.00, 217]
[1560, 119.5, 107.5, 109.00, 113.50, 38939]
[1565, 256.0, 249.0, 252.50, 250.50, 343]
[1568, 23.25, 22.35, 23.05, 22.45, 465]
[1569, 22.85, 22.25, 22.50, 22.30, 763]
[1570, 17.15, 16.5, 17.05, 16.90, 915]
[1580, 89.4, 88.1, 89.20, 88.50, 420]
[1582, 59.4, 58.7, 59.10, 59.20, 310]
[1583, 62.3, 61.6, 61.60, 62.00, 22]
[1584, 24.25, 21.8, 22.40, 23.95, 50921]
[1586, 34.4, 33.8, 33.95, 34.05, 233]
[1587, 22.05, 21.6, 21.70, 21.70, 201]
