['1101', '32.40', '32.10', '32.10', '32.30', '17725', 'tse']
['1102', '44.00', '43.55', '43.70', '43.80', '6750', 'tse']
['1103', '18.95', '18.40', '18.40', '18.85', '1793', 'tse']
['1104', '36.15', '35.30', '35.30', '35.35', '2131', 'tse']
['1108', '17.30', '16.90', '17.10', '17.25', '2535', 'tse']
['1109', '21.00', '19.90', '19.95', '20.95', '1847', 'tse']
['1110', '21.20', '20.15', '20.20', '20.80', '690', 'tse']
['1201', '19.00', '18.85', '18.95', '18.95', '279', 'tse']
['1203', '50.20', '49.90', '50.00', '50.00', '20', 'tse']
['1210', '57.50', '57.00', '57.20', '57.40', '876', 'tse']
['1213', '7.19', '7.12', '7.12', '7.18', '61', 'tse']
['1215', '106.00', '105.00', '106.00', '105.50', '246', 'tse']
['1216', '76.90', '75.80', '76.20', '76.00', '9798', 'tse']
['1217', '12.35', '12.05', '12.10', '12.30', '2960', 'tse']
['1218', '22.55', '22.20', '22.35', '22.50', '2116', 'tse']
['1219', '19.40', '19.15', '19.20', '19.30', '720', 'tse']
['1220', '17.75', '16.45', '16.45', '17.35', '3755', 'tse']
['1225', '63.00', '60.40', '63.00', '61.50', '65', 'tse']
['1227', '38.65', '38.30', '38.35', '38.50', '668', 'tse']
['1229', '66.50', '66.00', '66.40', '66.40', '739', 'tse']
['1231', '98.80', '97.70', '98.00', '97.80', '210', 'tse']
['1232', '146.00', '144.50', '144.50', '145.50', '59', 'tse']
['1233', '33.85', '33.60', '33.60', '33.85', '8', 'tse']
['1234', '42.40', '42.10', '42.20', '42.20', '192', 'tse']
['1235', '82.70', '82.70', '82.70', '82.70', '3', 'tse']
['1236', '23.95', '23.75', '23.75', '23.85', '22', 'tse']
['1240', '52.40', '51.80', '51.80', '51.90', '14', 'otc']
['1256', '216.00', '214.50', '216.00', '216.00', '12', 'tse']
['1259', '74.70', '74.20', '74.70', '74.20', '9', 'otc']
['1264', '300.00', '300.00', '300.00', '300.00', '11', 'otc']
['1268', '158.00', '156.00', '156.50', '157.00', '193', 'otc']
['1301', '68.90', '68.00', '68.50', '68.80', '4074', 'tse']
['1303', '57.50', '56.40', '56.70', '57.40', '6973', 'tse']
['1304', '16.25', '15.95', '15.95', '16.15', '3485', 'tse']
['1305', '18.30', '18.10', '18.30', '18.25', '1491', 'tse']
['1307', '31.65', '30.35', '30.45', '31.35', '1632', 'tse']
['1308', '19.40', '19.20', '19.30', '19.30', '714', 'tse']
['1309', '15.40', '15.25', '15.40', '15.40', '382', 'tse']
['1310', '13.30', '13.10', '13.20', '13.20', '714', 'tse']
['1312', '13.55', '13.40', '13.40', '13.50', '1316', 'tse']
['1313', '13.95', '13.75', '13.75', '13.90', '1185', 'tse']
['1314', '11.80', '11.20', '11.35', '11.45', '181882', 'tse']
['1315', '71.40', '71.00', '71.30', '71.40', '21', 'tse']
['1316', '22.30', '20.85', '21.60', '22.30', '36655', 'tse']
['1319', '124.50', '119.50', '120.00', '122.50', '5163', 'tse']
['1321', '40.85', '38.80', '38.85', '40.45', '1288', 'tse']
['1323', '31.20', '31.05', '31.10', '31.20', '11', 'tse']
['1324', '15.30', '15.00', '15.15', '15.20', '133', 'tse']
['1325', '27.90', '27.65', '27.85', '27.85', '159', 'tse']
['1326', '56.00', '55.30', '55.50', '55.70', '2686', 'tse']
['1336', '19.90', '19.40', '19.40', '19.70', '213', 'otc']
['1337', '7.82', '7.63', '7.63', '7.78', '2618', 'tse']
['1338', '33.95', '33.40', '33.40', '33.65', '45', 'tse']
['1339', '81.50', '77.00', '77.00', '80.40', '1621', 'tse']
['1340', '10.05', '9.99', '10.00', '10.05', '120', 'tse']
['1341', '66.20', '65.00', '65.00', '66.00', '16', 'tse']
['1342', '121.00', '119.50', '121.00', '121.00', '115', 'tse']
['1402', '33.45', '32.60', '32.70', '33.20', '9543', 'tse']
['1409', '17.50', '17.00', '17.05', '17.20', '7228', 'tse']
['1410', '38.10', '36.95', '37.50', '38.00', '56', 'tse']
['1413', '11.85', '10.80', '10.80', '11.85', '2933', 'tse']
['1414', '20.90', '20.35', '20.50', '20.35', '880', 'tse']
['1416', '13.80', '13.40', '13.40', '13.55', '1525', 'tse']
['1417', '11.70', '11.35', '11.40', '11.70', '618', 'tse']
['1418', '32.65', '32.35', '32.40', '32.50', '52', 'tse']
['1419', '52.30', '49.65', '50.50', '51.80', '583', 'tse']
['1423', '31.50', '31.35', '31.40', '31.50', '94', 'tse']
['1432', '18.45', '18.00', '18.20', '18.40', '320', 'tse']
['1434', '22.95', '22.75', '22.85', '22.85', '667', 'tse']
['1435', '--', '--', '--', '--', '0', 'tse']
['1436', '149.00', '143.50', '146.50', '148.00', '797', 'tse']
['1437', '33.75', '33.20', '33.45', '33.60', '364', 'tse']
['1438', '57.40', '55.20', '55.60', '56.30', '480', 'tse']
['1439', '29.50', '28.40', '28.45', '29.50', '348', 'tse']
['1440', '20.50', '19.70', '19.90', '20.00', '20634', 'tse']
['1441', '13.40', '13.25', '13.25', '13.40', '18', 'tse']
['1442', '59.90', '57.60', '57.60', '58.60', '5420', 'tse']
['1443', '32.20', '32.00', '32.10', '32.15', '31', 'tse']
['1444', '9.80', '9.53', '9.54', '9.79', '2192', 'tse']
['1445', '24.55', '23.70', '24.30', '24.15', '2206', 'tse']
['1446', '43.75', '39.80', '40.30', '43.75', '4475', 'tse']
['1447', '8.30', '8.10', '8.10', '8.28', '3179', 'tse']
['1449', '17.95', '17.60', '17.85', '17.85', '250', 'tse']
['1451', '20.90', '20.65', '20.75', '20.85', '208', 'tse']
['1452', '17.55', '17.20', '17.20', '17.50', '426', 'tse']
['1453', '25.05', '22.25', '22.25', '25.05', '7763', 'tse']
['1454', '16.05', '15.85', '16.00', '16.00', '63', 'tse']
['1455', '15.05', '14.20', '14.90', '14.45', '4313', 'tse']
['1456', '22.95', '21.65', '21.65', '22.45', '757', 'tse']
['1457', '25.60', '24.50', '24.95', '24.80', '3365', 'tse']
['1459', '12.65', '11.75', '12.10', '12.25', '2095', 'tse']
['1460', '7.96', '7.79', '7.79', '7.95', '685', 'tse']
['1463', '18.75', '18.20', '18.20', '18.65', '145', 'tse']
['1464', '13.40', '13.25', '13.40', '13.35', '275', 'tse']
['1465', '15.80', '15.15', '15.15', '15.80', '420', 'tse']
['1466', '13.30', '12.95', '13.30', '13.10', '158', 'tse']
['1467', '12.30', '12.10', '12.10', '12.30', '711', 'tse']
['1468', '13.55', '13.00', '13.35', '13.45', '107', 'tse']
['1470', '19.45', '19.10', '19.35', '19.45', '3', 'tse']
['1471', '15.35', '14.70', '14.90', '15.15', '449', 'tse']
['1472', '84.10', '81.10', '81.50', '83.60', '144', 'tse']
['1473', '34.25', '33.45', '33.45', '33.80', '399', 'tse']
['1474', '14.20', '13.90', '13.90', '14.05', '430', 'tse']
['1475', '55.30', '54.40', '54.80', '55.30', '121', 'tse']
['1476', '512.00', '494.00', '511.00', '495.00', '1060', 'tse']
['1477', '395.00', '389.00', '390.00', '394.00', '615', 'tse']
['1503', '293.00', '281.50', '290.50', '284.50', '12718', 'tse']
['1504', '58.10', '56.20', '56.90', '56.70', '23330', 'tse']
['1506', '17.00', '16.70', '16.80', '16.90', '603', 'tse']
['1512', '10.25', '9.68', '10.00', '10.15', '110', 'tse']
['1513', '186.50', '181.00', '184.00', '181.50', '16032', 'tse']
