['1101', '32.00', '31.70', '31.70', '32.00', '12087', 'tse']
['1102', '41.15', '40.35', '40.35', '41.15', '7379', 'tse']
['1103', '17.35', '17.25', '17.25', '17.35', '197', 'tse']
['1104', '31.85', '31.35', '31.50', '31.85', '1612', 'tse']
['1108', '16.20', '15.70', '15.70', '16.20', '2307', 'tse']
['1109', '18.90', '18.10', '18.40', '18.75', '2708', 'tse']
['1110', '18.00', '17.80', '17.95', '17.85', '83', 'tse']
['1201', '19.25', '18.90', '18.90', '19.05', '703', 'tse']
['1203', '52.10', '52.10', '52.10', '52.10', '1', 'tse']
['1210', '61.80', '60.30', '60.40', '60.50', '4648', 'tse']
['1213', '7.25', '7.15', '7.20', '7.15', '18', 'tse']
['1215', '104.00', '100.50', '102.50', '101.00', '846', 'tse']
['1216', '78.50', '77.30', '78.10', '77.80', '12778', 'tse']
['1217', '11.80', '11.60', '11.65', '11.75', '1075', 'tse']
['1218', '22.40', '21.95', '22.10', '21.95', '1806', 'tse']
['1219', '18.70', '18.30', '18.30', '18.65', '842', 'tse']
['1220', '14.05', '13.90', '13.95', '13.95', '203', 'tse']
['1225', '56.50', '56.30', '56.40', '56.40', '51', 'tse']
['1227', '37.70', '37.55', '37.55', '37.60', '322', 'tse']
['1229', '69.50', '68.50', '69.20', '68.70', '1251', 'tse']
['1231', '96.10', '94.50', '95.00', '95.50', '399', 'tse']
['1232', '144.50', '143.50', '144.50', '144.00', '66', 'tse']
['1233', '33.85', '33.50', '33.55', '33.80', '34', 'tse']
['1234', '41.70', '40.55', '40.55', '41.20', '641', 'tse']
['1235', '83.10', '80.10', '80.10', '80.70', '37', 'tse']
['1236', '23.65', '23.55', '23.60', '23.55', '20', 'tse']
['1240', '52.30', '51.40', '51.50', '51.40', '114', 'otc']
['1256', '235.50', '234.00', '234.00', '235.00', '8', 'tse']
['1259', '75.00', '74.40', '74.40', '75.00', '20', 'otc']
['1264', '----', '----', '----', '----', '0', 'otc']
['1268', '154.50', '152.50', '154.50', '154.00', '53', 'otc']
['1301', '69.30', '68.40', '68.50', '69.30', '7326', 'tse']
['1303', '56.50', '55.40', '55.80', '56.40', '8852', 'tse']
['1304', '17.30', '17.10', '17.20', '17.10', '1282', 'tse']
['1305', '19.35', '19.05', '19.10', '19.05', '1097', 'tse']
['1307', '27.80', '26.75', '26.95', '27.80', '1554', 'tse']
['1308', '20.40', '20.10', '20.30', '20.15', '912', 'tse']
['1309', '15.70', '15.40', '15.45', '15.50', '427', 'tse']
['1310', '13.45', '13.30', '13.45', '13.35', '859', 'tse']
['1312', '13.60', '13.40', '13.45', '13.50', '2029', 'tse']
['1313', '13.75', '13.50', '13.60', '13.60', '1466', 'tse']
['1314', '9.28', '9.17', '9.20', '9.20', '8233', 'tse']
['1315', '72.50', '72.10', '72.50', '72.10', '17', 'tse']
['1316', '21.30', '19.25', '20.00', '20.50', '73686', 'tse']
['1319', '117.00', '110.50', '113.50', '112.00', '14596', 'tse']
['1321', '35.80', '35.60', '35.65', '35.65', '99', 'tse']
['1323', '31.00', '30.90', '31.00', '30.90', '27', 'tse']
['1324', '15.20', '14.85', '15.05', '15.00', '197', 'tse']
['1325', '31.85', '31.35', '31.40', '31.55', '459', 'tse']
['1326', '55.90', '55.00', '55.10', '55.90', '4594', 'tse']
['1336', '21.35', '21.05', '21.20', '21.05', '100', 'otc']
['1337', '7.49', '7.33', '7.36', '7.35', '218', 'tse']
['1338', '36.90', '36.30', '36.30', '36.65', '47', 'tse']
['1339', '67.80', '65.40', '67.70', '65.40', '467', 'tse']
['1340', '10.60', '10.50', '10.55', '10.55', '107', 'tse']
['1341', '64.60', '64.20', '64.50', '64.60', '14', 'tse']
['1342', '137.00', '134.00', '136.00', '135.50', '580', 'tse']
['1402', '32.90', '32.55', '32.65', '32.90', '5639', 'tse']
['1409', '16.10', '15.90', '16.00', '15.95', '2585', 'tse']
['1410', '36.85', '36.55', '36.55', '36.60', '171', 'tse']
['1413', '9.20', '9.01', '9.01', '9.09', '81', 'tse']
['1414', '18.40', '18.10', '18.15', '18.15', '122', 'tse']
['1416', '13.50', '12.80', '12.85', '13.50', '1633', 'tse']
['1417', '11.80', '11.65', '11.75', '11.75', '254', 'tse']
['1418', '32.15', '30.85', '30.85', '31.90', '202', 'tse']
['1419', '45.20', '45.10', '45.10', '45.15', '18', 'tse']
['1423', '31.25', '31.00', '31.00', '31.25', '33', 'tse']
['1432', '19.60', '19.05', '19.40', '19.50', '618', 'tse']
['1434', '22.60', '22.45', '22.55', '22.55', '1517', 'tse']
