['1101', '32.15', '31.85', '32.00', '31.85', '16009', 'tse']
['1102', '40.50', '40.00', '40.30', '40.40', '5284', 'tse']
['1103', '17.40', '17.25', '17.40', '17.30', '399', 'tse']
['1104', '31.35', '30.70', '31.10', '31.05', '1841', 'tse']
['1108', '15.95', '15.60', '15.90', '15.65', '1800', 'tse']
['1109', '17.75', '17.60', '17.70', '17.60', '409', 'tse']
['1110', '18.00', '17.75', '17.75', '18.00', '253', 'tse']
['1201', '18.95', '18.85', '18.90', '18.90', '254', 'tse']
['1203', '52.50', '51.10', '51.10', '51.50', '54', 'tse']
['1210', '60.20', '59.30', '60.10', '59.40', '2122', 'tse']
['1213', '7.12', '7.04', '7.06', '7.04', '52', 'tse']
['1215', '99.80', '98.80', '99.70', '99.00', '613', 'tse']
['1216', '76.30', '75.30', '75.80', '75.70', '11005', 'tse']
['1217', '11.75', '11.65', '11.75', '11.70', '1642', 'tse']
['1218', '21.50', '21.10', '21.45', '21.30', '1429', 'tse']
['1219', '18.80', '18.55', '18.75', '18.60', '1079', 'tse']
['1220', '13.95', '13.80', '13.90', '13.90', '274', 'tse']
['1225', '55.00', '54.40', '54.40', '55.00', '13', 'tse']
['1227', '37.40', '37.10', '37.40', '37.25', '992', 'tse']
['1229', '66.90', '65.70', '66.80', '65.70', '2166', 'tse']
['1231', '87.90', '87.50', '87.90', '87.70', '223', 'tse']
['1232', '144.00', '143.50', '143.50', '143.50', '101', 'tse']
['1233', '34.80', '34.35', '34.75', '34.50', '32', 'tse']
['1234', '40.10', '39.90', '40.05', '40.00', '322', 'tse']
['1235', '80.40', '80.00', '80.20', '80.00', '5', 'tse']
['1236', '23.70', '23.60', '23.60', '23.60', '34', 'tse']
['1240', '50.20', '49.20', '50.20', '49.20', '39', 'otc']
['1256', '244.00', '240.00', '244.00', '240.00', '27', 'tse']
['1259', '74.40', '73.40', '74.40', '73.50', '36', 'otc']
['1264', '313.50', '307.00', '311.00', '308.00', '36', 'otc']
['1268', '152.50', '151.00', '151.50', '152.00', '71', 'otc']
['1301', '69.60', '68.60', '69.50', '68.60', '16187', 'tse']
['1303', '56.20', '55.40', '56.00', '55.50', '14517', 'tse']
['1304', '17.50', '17.00', '17.50', '17.00', '3051', 'tse']
['1305', '19.30', '19.10', '19.25', '19.15', '1472', 'tse']
['1307', '27.00', '26.35', '27.00', '26.40', '624', 'tse']
['1308', '21.25', '20.50', '21.15', '20.70', '2251', 'tse']
['1309', '16.00', '15.50', '16.00', '15.55', '1516', 'tse']
['1310', '13.70', '13.40', '13.70', '13.60', '1828', 'tse']
['1312', '13.90', '13.50', '13.90', '13.55', '6073', 'tse']
['1313', '14.10', '13.55', '14.05', '13.65', '6711', 'tse']
['1314', '9.23', '9.18', '9.22', '9.19', '13307', 'tse']
['1315', '72.60', '72.00', '72.20', '72.30', '27', 'tse']
['1316', '25.30', '22.60', '25.20', '22.60', '62626', 'tse']
['1319', '101.00', '94.90', '100.00', '96.50', '8779', 'tse']
['1321', '35.85', '35.60', '35.80', '35.65', '128', 'tse']
['1323', '31.05', '30.95', '31.05', '31.05', '70', 'tse']
['1324', '16.05', '15.20', '15.90', '15.50', '631', 'tse']
['1325', '32.10', '31.35', '31.85', '31.45', '982', 'tse']
['1326', '54.90', '54.40', '54.90', '54.80', '5457', 'tse']
['1336', '21.95', '21.05', '21.85', '21.25', '187', 'otc']
['1337', '7.61', '7.41', '7.50', '7.43', '666', 'tse']
['1338', '38.00', '37.05', '37.95', '37.10', '142', 'tse']
['1339', '72.10', '67.70', '72.10', '68.60', '649', 'tse']
['1340', '10.85', '10.65', '10.85', '10.75', '184', 'tse']
['1341', '64.50', '62.80', '62.90', '63.10', '75', 'tse']
['1342', '133.00', '129.00', '133.00', '131.00', '1201', 'tse']
['1402', '32.40', '31.70', '31.85', '32.40', '6867', 'tse']
['1409', '16.40', '15.95', '16.35', '16.05', '6761', 'tse']
['1410', '37.10', '36.60', '36.60', '36.75', '68', 'tse']
['1413', '9.02', '8.95', '9.00', '8.96', '148', 'tse']
['1414', '18.60', '17.90', '18.40', '17.95', '843', 'tse']
['1416', '13.85', '12.55', '13.75', '13.00', '4658', 'tse']
['1417', '11.95', '11.80', '11.90', '11.80', '203', 'tse']
['1418', '33.75', '30.65', '30.65', '32.65', '772', 'tse']
['1419', '45.00', '44.50', '44.60', '44.55', '42', 'tse']
['1423', '31.15', '31.05', '31.05', '31.05', '38', 'tse']
['1432', '20.00', '19.10', '20.00', '19.15', '1947', 'tse']
['1434', '23.00', '22.55', '22.95', '22.80', '3204', 'tse']
['1435', '50.30', '47.15', '50.30', '47.20', '4', 'tse']
['1436', '97.90', '96.20', '97.70', '96.20', '189', 'tse']
['1437', '31.50', '31.15', '31.40', '31.40', '182', 'tse']
['1438', '47.40', '45.85', '46.95', '45.85', '326', 'tse']
['1439', '24.90', '24.50', '24.55', '24.55', '33', 'tse']
['1440', '15.15', '14.95', '15.05', '15.00', '1054', 'tse']
['1441', '13.75', '13.60', '13.75', '13.75', '14', 'tse']
['1442', '38.90', '38.05', '38.85', '38.10', '355', 'tse']
['1443', '28.55', '28.35', '28.55', '28.55', '109', 'tse']
['1444', '10.05', '9.96', '10.00', '9.97', '2871', 'tse']
['1445', '26.70', '25.00', '26.05', '25.10', '1122', 'tse']
['1446', '35.65', '35.10', '35.35', '35.45', '119', 'tse']
['1447', '8.49', '8.29', '8.45', '8.30', '2133', 'tse']
['1449', '21.65', '20.75', '21.65', '20.80', '1058', 'tse']
['1451', '19.05', '18.80', '18.95', '18.80', '185', 'tse']
['1452', '16.40', '16.20', '16.40', '16.25', '263', 'tse']
['1453', '15.75', '14.35', '15.75', '14.80', '1331', 'tse']
['1454', '16.30', '16.15', '16.30', '16.20', '17', 'tse']
['1455', '13.70', '13.05', '13.25', '13.50', '4962', 'tse']
['1456', '21.95', '19.15', '21.20', '19.15', '2057', 'tse']
['1457', '18.90', '18.60', '18.60', '18.80', '567', 'tse']
['1459', '9.85', '9.71', '9.77', '9.85', '125', 'tse']
['1460', '7.23', '7.16', '7.19', '7.17', '1067', 'tse']
['1463', '18.35', '18.00', '18.05', '18.15', '747', 'tse']
['1464', '13.20', '13.05', '13.15', '13.10', '237', 'tse']
['1465', '14.75', '14.55', '14.65', '14.65', '151', 'tse']
['1466', '14.40', '13.10', '13.10', '13.40', '2655', 'tse']
['1467', '11.00', '10.85', '10.90', '10.90', '495', 'tse']
['1468', '14.65', '14.50', '14.50', '14.60', '42', 'tse']
['1470', '21.00', '19.85', '19.85', '20.00', '27', 'tse']
['1471', '17.35', '16.50', '17.30', '16.60', '3834', 'tse']
['1472', '87.00', '78.90', '87.00', '80.10', '237', 'tse']
['1473', '28.90', '27.85', '28.45', '27.95', '211', 'tse']
['1474', '12.50', '12.15', '12.35', '12.25', '225', 'tse']
['1475', '51.40', '50.00', '50.90', '50.90', '90', 'tse']
['1476', '580.00', '560.00', '565.00', '568.00', '1165', 'tse']
['1477', '368.50', '363.00', '363.50', '365.50', '1522', 'tse']
['1503', '179.00', '163.00', '179.00', '165.00', '18740', 'tse']
['1504', '50.20', '48.75', '50.00', '49.40', '13376', 'tse']
['1506', '16.35', '16.05', '16.20', '16.35', '332', 'tse']
['1512', '10.10', '9.93', '10.05', '10.00', '103', 'tse']
['1513', '170.50', '157.50', '170.00', '161.50', '51772', 'tse']
['1514', '115.00', '106.50', '114.50', '107.50', '27056', 'tse']
['1515', '48.00', '46.55', '47.80', '46.75', '1537', 'tse']
['1516', '17.05', '16.55', '17.05', '16.85', '163', 'tse']
['1517', '19.30', '17.10', '18.80', '17.20', '15846', 'tse']
['1519', '541.00', '490.00', '541.00', '502.00', '2062', 'tse']
['1521', '44.35', '42.80', '44.35', '42.80', '233', 'tse']
['1522', '46.95', '44.30', '46.70', '44.30', '7654', 'tse']
['1524', '33.60', '32.40', '33.30', '32.65', '5098', 'tse']
['1525', '73.10', '71.50', '73.10', '71.80', '103', 'tse']
['1526', '36.90', '33.00', '36.90', '33.10', '3382', 'tse']
['1527', '41.65', '40.80', '41.50', '41.20', '366', 'tse']
['1528', '13.80', '13.15', '13.75', '13.20', '3010', 'tse']
['1529', '34.20', '32.50', '34.00', '32.80', '2097', 'tse']
['1530', '32.40', '32.05', '32.40', '32.15', '94', 'tse']
['1531', '13.90', '13.40', '13.90', '13.40', '323', 'tse']
['1532', '40.10', '38.30', '39.80', '39.35', '2190', 'tse']
['1533', '49.80', '49.00', '49.80', '49.10', '315', 'tse']
['1535', '68.80', '66.40', '68.80', '68.50', '1755', 'tse']
['1536', '53.10', '51.90', '52.40', '52.00', '1538', 'tse']
['1537', '135.00', '133.50', '134.50', '135.00', '222', 'tse']
['1538', '22.75', '20.80', '21.80', '22.50', '12', 'tse']
['1539', '26.30', '25.10', '25.85', '25.55', '1041', 'tse']
['1540', '18.00', '17.65', '18.00', '17.70', '482', 'tse']
['1541', '32.30', '32.00', '32.05', '32.15', '10', 'tse']
['1558', '101.50', '100.50', '101.50', '100.50', '277', 'tse']
['1560', '256.00', '239.50', '250.50', '241.00', '4716', 'tse']
['1565', '195.00', '192.00', '195.00', '192.50', '440', 'otc']
['1568', '31.90', '30.15', '31.30', '30.50', '2825', 'tse']
['1569', '25.75', '24.50', '25.70', '24.70', '1202', 'otc']
['1570', '30.35', '27.90', '29.45', '28.05', '3978', 'otc']
['1580', '159.50', '156.50', '156.50', '158.00', '382', 'otc']
['1582', '84.80', '79.10', '84.80', '80.20', '5407', 'tse']
['1583', '75.60', '73.10', '73.10', '73.20', '72', 'tse']
['1584', '34.00', '33.15', '34.00', '33.15', '1739', 'otc']
['1586', '32.75', '32.10', '32.75', '32.45', '63', 'otc']
['1587', '25.00', '24.20', '24.80', '24.45', '272', 'tse']
['1589', '62.50', '57.70', '62.50', '57.80', '5383', 'tse']
['1590', '1,095.00', '1,060.00', '1,095.00', '1,065.00', '1081', 'tse']
['1591', '68.40', '63.10', '65.50', '63.90', '1544', 'otc']
['1593', '52.00', '50.00', '52.00', '50.60', '75', 'otc']
['1595', '36.50', '36.10', '36.50', '36.10', '30', 'otc']
['1597', '66.70', '63.50', '63.50', '64.40', '317', 'tse']
['1598', '31.15', '30.50', '31.10', '30.90', '269', 'tse']
['1599', '34.70', '34.25', '34.70', '34.25', '26', 'otc']
['1603', '36.95', '36.00', '36.75', '36.05', '1713', 'tse']
['1604', '29.00', '28.80', '28.85', '28.85', '336', 'tse']
['1605', '35.20', '34.70', '35.00', '35.15', '10987', 'tse']
['1608', '22.75', '22.20', '22.70', '22.35', '2520', 'tse']
['1609', '37.05', '35.85', '36.75', '36.05', '17109', 'tse']
['1611', '16.30', '16.00', '16.25', '16.10', '1001', 'tse']
['1612', '26.80', '26.20', '26.70', '26.45', '1570', 'tse']
['1614', '38.65', '38.30', '38.35', '38.50', '33', 'tse']
['1615', '49.00', '47.40', '49.00', '47.75', '592', 'tse']
['1616', '14.55', '13.90', '14.55', '14.15', '2315', 'tse']
['1617', '16.95', '16.50', '16.90', '16.55', '86', 'tse']
['1618', '33.50', '31.30', '33.35', '31.40', '6638', 'tse']
['1626', '16.05', '15.95', '16.05', '16.00', '186', 'tse']
['1701', '23.65', '23.20', '23.50', '23.20', '807', 'tse']
['1702', '57.10', '55.20', '56.60', '55.60', '714', 'tse']
['1707', '155.00', '152.00', '155.00', '153.50', '383', 'tse']
['1708', '30.65', '30.00', '30.35', '30.00', '1152', 'tse']
['1709', '20.70', '20.45', '20.70', '20.55', '681', 'tse']
['1710', '18.50', '18.25', '18.50', '18.30', '1941', 'tse']
['1711', '21.30', '20.25', '21.20', '20.55', '3486', 'tse']
['1712', '42.10', '41.80', '41.80', '41.95', '2070', 'tse']
['1713', '44.55', '43.45', '44.10', '43.45', '181', 'tse']
['1714', '9.01', '8.90', '9.01', '8.91', '1908', 'tse']
