['1101', '31.70', '31.40', '31.65', '31.40', '24394', 'tse']
['1102', '41.15', '40.55', '41.10', '40.55', '6339', 'tse']
['1103', '17.15', '17.10', '17.15', '17.15', '284', 'tse']
['1104', '32.80', '32.30', '32.45', '32.35', '1395', 'tse']
['1108', '15.80', '15.40', '15.50', '15.60', '1420', 'tse']
['1109', '19.15', '18.90', '19.15', '19.05', '596', 'tse']
['1110', '17.85', '17.70', '17.75', '17.70', '69', 'tse']
['1201', '18.95', '18.80', '18.90', '18.80', '293', 'tse']
['1203', '51.50', '49.95', '49.95', '51.30', '18', 'tse']
['1210', '57.70', '57.10', '57.10', '57.20', '1854', 'tse']
['1213', '7.30', '7.04', '7.08', '7.30', '189', 'tse']
['1215', '104.50', '102.50', '102.50', '103.50', '940', 'tse']
['1216', '76.40', '75.60', '75.70', '75.90', '17356', 'tse']
['1217', '11.75', '11.65', '11.70', '11.70', '503', 'tse']
['1218', '21.60', '21.20', '21.20', '21.40', '559', 'tse']
['1219', '18.70', '18.50', '18.65', '18.60', '357', 'tse']
['1220', '14.90', '14.50', '14.90', '14.65', '766', 'tse']
['1225', '55.50', '55.00', '55.00', '55.50', '10', 'tse']
['1227', '37.50', '37.35', '37.40', '37.45', '381', 'tse']
['1229', '68.00', '67.10', '67.70', '67.20', '1330', 'tse']
['1231', '98.40', '96.60', '96.60', '97.90', '468', 'tse']
['1232', '144.50', '143.50', '144.00', '144.00', '59', 'tse']
['1233', '34.00', '33.80', '33.80', '33.80', '11', 'tse']
['1234', '41.35', '40.95', '41.00', '40.95', '184', 'tse']
['1235', '83.00', '82.00', '83.00', '82.60', '29', 'tse']
['1236', '23.55', '23.35', '23.55', '23.40', '17', 'tse']
['1240', '51.40', '50.50', '51.40', '50.80', '91', 'otc']
['1256', '235.00', '231.50', '235.00', '231.50', '14', 'tse']
['1259', '75.30', '74.40', '75.30', '75.00', '7', 'otc']
['1264', '307.50', '306.00', '306.00', '307.50', '9', 'otc']
['1268', '154.50', '152.00', '154.50', '152.00', '101', 'otc']
['1301', '68.00', '67.80', '68.00', '67.80', '7827', 'tse']
['1303', '55.40', '54.70', '54.70', '55.00', '7610', 'tse']
['1304', '16.75', '16.40', '16.45', '16.50', '1364', 'tse']
['1305', '18.80', '18.25', '18.25', '18.45', '1710', 'tse']
['1307', '29.35', '27.70', '28.75', '27.85', '2078', 'tse']
['1308', '19.90', '19.65', '19.65', '19.80', '632', 'tse']
['1309', '15.65', '15.20', '15.20', '15.50', '664', 'tse']
['1310', '13.65', '13.50', '13.55', '13.50', '491', 'tse']
['1312', '13.40', '13.15', '13.15', '13.15', '1396', 'tse']
['1313', '13.35', '13.10', '13.35', '13.15', '2456', 'tse']
['1314', '9.33', '9.22', '9.22', '9.26', '8155', 'tse']
['1315', '72.20', '72.00', '72.10', '72.20', '7', 'tse']
['1316', '20.95', '19.80', '20.55', '19.85', '21066', 'tse']
['1319', '127.50', '121.50', '125.50', '126.50', '18346', 'tse']
['1321', '35.45', '35.20', '35.40', '35.20', '179', 'tse']
['1323', '31.20', '30.95', '31.20', '31.00', '38', 'tse']
['1324', '16.05', '15.40', '16.05', '15.55', '446', 'tse']
['1325', '31.00', '30.25', '30.55', '30.25', '675', 'tse']
['1326', '55.10', '54.70', '54.90', '54.70', '3724', 'tse']
['1336', '20.85', '20.60', '20.80', '20.60', '56', 'otc']
['1337', '7.21', '7.14', '7.18', '7.17', '211', 'tse']
['1338', '35.80', '35.00', '35.00', '35.35', '102', 'tse']
['1339', '74.00', '69.20', '69.20', '72.90', '1220', 'tse']
['1340', '10.10', '10.00', '10.05', '10.10', '98', 'tse']
['1341', '64.90', '64.10', '64.10', '64.50', '14', 'tse']
['1342', '140.00', '137.50', '137.50', '139.00', '928', 'tse']
['1402', '32.40', '31.70', '32.30', '31.70', '8378', 'tse']
['1409', '16.10', '15.95', '16.05', '15.95', '1451', 'tse']
['1410', '36.65', '36.25', '36.65', '36.25', '49', 'tse']
['1413', '9.14', '8.63', '9.14', '9.10', '92', 'tse']
['1414', '18.55', '18.10', '18.50', '18.35', '145', 'tse']
['1416', '12.25', '11.90', '12.25', '11.90', '938', 'tse']
['1417', '11.35', '11.25', '11.30', '11.35', '474', 'tse']
['1418', '32.60', '31.70', '32.30', '32.00', '72', 'tse']
['1419', '45.10', '44.90', '45.00', '45.00', '35', 'tse']
['1423', '31.00', '30.90', '31.00', '30.95', '49', 'tse']
['1432', '19.55', '19.30', '19.55', '19.30', '746', 'tse']
['1434', '22.40', '22.15', '22.25', '22.30', '1355', 'tse']
['1435', '48.55', '48.55', '48.55', '48.55', '3', 'tse']
['1436', '105.50', '102.00', '102.00', '104.50', '249', 'tse']
['1437', '31.90', '31.40', '31.45', '31.60', '269', 'tse']
['1438', '43.20', '42.80', '42.90', '43.20', '149', 'tse']
['1439', '24.95', '24.65', '24.90', '24.95', '19', 'tse']
['1440', '15.30', '15.00', '15.05', '15.10', '1414', 'tse']
['1441', '13.60', '13.30', '13.60', '13.60', '30', 'tse']
['1442', '40.85', '40.35', '40.60', '40.75', '979', 'tse']
['1443', '28.50', '28.30', '28.50', '28.30', '39', 'tse']
['1444', '9.33', '9.21', '9.32', '9.26', '1386', 'tse']
['1445', '21.90', '21.20', '21.45', '21.30', '1021', 'tse']
['1446', '33.55', '33.10', '33.20', '33.30', '165', 'tse']
['1447', '8.07', '7.92', '8.04', '7.92', '1826', 'tse']
['1449', '19.10', '18.70', '19.00', '18.70', '460', 'tse']
['1451', '19.15', '19.00', '19.00', '19.00', '81', 'tse']
['1452', '16.60', '16.30', '16.50', '16.45', '159', 'tse']
['1453', '15.00', '14.80', '14.80', '14.95', '78', 'tse']
['1454', '16.00', '15.85', '15.85', '15.95', '23', 'tse']
['1455', '14.45', '14.15', '14.25', '14.35', '2534', 'tse']
['1456', '19.95', '19.35', '19.35', '19.80', '146', 'tse']
['1457', '20.15', '19.95', '20.05', '20.10', '1061', 'tse']
['1459', '9.59', '9.50', '9.59', '9.50', '131', 'tse']
['1460', '7.80', '7.56', '7.60', '7.75', '1412', 'tse']
['1463', '17.60', '17.40', '17.60', '17.40', '2801', 'tse']
['1464', '13.05', '12.95', '13.05', '13.00', '374', 'tse']
['1465', '15.20', '14.90', '15.10', '15.10', '330', 'tse']
['1466', '14.35', '13.70', '14.00', '14.10', '1094', 'tse']
['1467', '11.20', '11.05', '11.10', '11.15', '975', 'tse']
['1468', '14.70', '14.50', '14.60', '14.65', '43', 'tse']
['1470', '21.10', '20.00', '20.00', '20.65', '24', 'tse']
['1471', '16.90', '16.50', '16.65', '16.65', '862', 'tse']
['1472', '75.40', '73.40', '73.40', '74.60', '94', 'tse']
['1473', '31.85', '31.30', '31.55', '31.80', '705', 'tse']
['1474', '12.20', '12.00', '12.10', '12.00', '162', 'tse']
['1475', '47.25', '45.80', '47.05', '47.20', '125', 'tse']
['1476', '565.00', '552.00', '564.00', '552.00', '955', 'tse']
['1477', '403.00', '393.50', '394.00', '402.50', '1334', 'tse']
['1503', '245.00', '227.00', '228.00', '239.00', '57381', 'tse']
['1504', '56.30', '53.30', '53.30', '55.00', '47980', 'tse']
['1506', '16.00', '15.90', '16.00', '16.00', '123', 'tse']
['1512', '11.70', '11.35', '11.70', '11.35', '24', 'tse']
['1513', '185.50', '178.50', '179.00', '180.00', '67561', 'tse']
['1514', '113.00', '110.00', '111.00', '111.50', '22497', 'tse']
['1515', '50.10', '49.20', '49.60', '49.45', '851', 'tse']
['1516', '16.65', '16.45', '16.60', '16.45', '29', 'tse']
['1517', '16.45', '15.95', '16.10', '16.15', '617', 'tse']
['1519', '680.00', '655.00', '673.00', '660.00', '1029', 'tse']
['1521', '40.95', '40.40', '40.90', '40.40', '119', 'tse']
['1522', '51.30', '49.15', '51.00', '50.70', '10935', 'tse']
['1524', '37.45', '36.55', '37.20', '36.60', '7570', 'tse']
['1525', '74.00', '73.00', '74.00', '73.30', '32', 'tse']
['1526', '34.80', '33.00', '34.05', '33.70', '526', 'tse']
['1527', '41.95', '41.55', '41.80', '41.70', '379', 'tse']
['1528', '12.80', '12.55', '12.70', '12.60', '857', 'tse']
['1529', '35.15', '34.10', '34.85', '34.15', '1770', 'tse']
['1530', '32.10', '32.00', '32.05', '32.05', '56', 'tse']
['1531', '13.60', '13.40', '13.40', '13.55', '94', 'tse']
['1532', '37.10', '36.55', '36.65', '36.75', '2321', 'tse']
['1533', '48.90', '48.00', '48.75', '48.05', '171', 'tse']
['1535', '73.90', '71.60', '72.40', '72.40', '584', 'tse']
['1536', '52.70', '51.60', '52.30', '51.70', '724', 'tse']
['1537', '140.00', '139.00', '140.00', '139.50', '173', 'tse']
['1538', '20.60', '19.60', '19.60', '19.80', '66', 'tse']
['1539', '25.05', '24.60', '25.05', '24.90', '109', 'tse']
['1540', '18.60', '18.35', '18.60', '18.45', '501', 'tse']
['1541', '31.40', '31.00', '31.35', '31.35', '35', 'tse']
['1558', '99.90', '99.20', '99.50', '99.30', '98', 'tse']
['1560', '258.00', '250.50', '255.00', '251.00', '2930', 'tse']
['1565', '192.00', '189.50', '189.50', '192.00', '95', 'otc']
['1568', '31.45', '30.80', '31.35', '30.85', '454', 'tse']
['1569', '24.80', '24.50', '24.60', '24.60', '145', 'otc']
['1570', '29.70', '29.10', '29.10', '29.15', '651', 'otc']
['1580', '162.00', '160.50', '161.50', '160.50', '68', 'otc']
['1582', '90.50', '88.40', '89.40', '88.40', '3717', 'tse']
['1583', '76.90', '76.00', '76.10', '76.20', '10', 'tse']
['1584', '34.35', '33.60', '33.65', '34.10', '1386', 'otc']
['1586', '32.30', '31.95', '32.15', '32.15', '85', 'otc']
['1587', '26.50', '25.30', '25.30', '25.80', '868', 'tse']
['1589', '52.50', '51.10', '51.90', '51.10', '705', 'tse']
['1590', '1,075.00', '1,050.00', '1,060.00', '1,050.00', '404', 'tse']
['1591', '61.80', '60.00', '61.40', '61.40', '347', 'otc']
['1593', '48.35', '47.85', '48.35', '47.90', '31', 'otc']
['1595', '36.50', '35.85', '35.85', '36.30', '59', 'otc']
['1597', '71.40', '69.30', '70.00', '69.60', '531', 'tse']
['1598', '31.20', '30.55', '30.70', '30.60', '155', 'tse']
['1599', '31.55', '31.40', '31.50', '31.55', '57', 'otc']
['1603', '38.45', '37.55', '38.15', '37.55', '2066', 'tse']
['1604', '29.75', '29.55', '29.60', '29.60', '435', 'tse']
['1605', '38.00', '36.60', '37.30', '36.60', '25697', 'tse']
['1608', '26.30', '25.45', '25.80', '25.50', '10286', 'tse']
['1609', '39.00', '38.00', '38.70', '38.10', '26157', 'tse']
['1611', '16.35', '16.20', '16.30', '16.25', '390', 'tse']
['1612', '28.75', '28.10', '28.50', '28.25', '3101', 'tse']
['1614', '38.70', '38.30', '38.30', '38.55', '50', 'tse']
['1615', '55.30', '53.60', '54.50', '55.00', '692', 'tse']
['1616', '17.15', '15.90', '16.35', '15.90', '6191', 'tse']
['1617', '16.50', '16.35', '16.45', '16.35', '42', 'tse']
['1618', '36.60', '35.15', '35.30', '35.70', '10286', 'tse']
['1626', '16.40', '16.10', '16.25', '16.35', '105', 'tse']
['1701', '22.80', '22.65', '22.70', '22.75', '396', 'tse']
['1702', '56.20', '55.40', '55.70', '56.20', '707', 'tse']
['1707', '156.00', '155.00', '155.50', '155.00', '139', 'tse']
