['1101', '32.15', '31.70', '31.70', '32.15', '19741', 'tse']
['1102', '41.30', '40.95', '41.00', '41.30', '2747', 'tse']
['1103', '17.40', '17.30', '17.40', '17.40', '368', 'tse']
['1104', '31.70', '31.45', '31.70', '31.60', '372', 'tse']
['1108', '15.95', '15.75', '15.95', '15.80', '734', 'tse']
['1109', '19.30', '19.10', '19.25', '19.20', '272', 'tse']
['1110', '17.95', '17.70', '17.90', '17.85', '63', 'tse']
['1201', '18.90', '18.75', '18.80', '18.90', '113', 'tse']
['1203', '50.80', '50.40', '50.50', '50.70', '10', 'tse']
['1210', '58.00', '57.50', '57.80', '57.70', '1489', 'tse']
['1213', '7.28', '7.22', '7.28', '7.28', '26', 'tse']
['1215', '112.50', '108.50', '110.00', '112.00', '913', 'tse']
['1216', '77.70', '75.80', '76.50', '77.50', '28189', 'tse']
['1217', '12.00', '11.85', '12.00', '11.90', '1152', 'tse']
['1218', '22.15', '22.00', '22.15', '22.10', '505', 'tse']
['1219', '18.80', '18.65', '18.80', '18.70', '244', 'tse']
['1220', '15.40', '15.05', '15.15', '15.25', '330', 'tse']
['1225', '56.60', '56.00', '56.10', '56.50', '31', 'tse']
['1227', '38.30', '37.80', '37.80', '38.15', '944', 'tse']
['1229', '68.10', '67.50', '68.00', '67.90', '527', 'tse']
['1231', '97.80', '96.70', '97.80', '96.80', '130', 'tse']
['1232', '147.50', '146.00', '146.00', '147.00', '98', 'tse']
['1233', '33.85', '33.65', '33.85', '33.85', '27', 'tse']
['1234', '41.45', '41.00', '41.00', '41.20', '150', 'tse']
['1235', '81.90', '81.50', '81.70', '81.50', '4', 'tse']
['1236', '23.65', '23.40', '23.40', '23.50', '24', 'tse']
['1240', '51.20', '50.80', '50.80', '51.20', '10', 'otc']
['1256', '236.50', '232.00', '232.00', '236.00', '11', 'tse']
['1259', '75.00', '74.90', '74.90', '74.90', '23', 'otc']
['1264', '305.00', '304.00', '304.00', '305.00', '7', 'otc']
['1268', '154.50', '153.50', '154.50', '154.00', '45', 'otc']
['1301', '69.30', '68.30', '68.50', '68.90', '7041', 'tse']
['1303', '56.80', '55.60', '55.80', '56.00', '7339', 'tse']
['1304', '16.20', '15.95', '16.00', '16.05', '1586', 'tse']
['1305', '18.60', '18.10', '18.10', '18.20', '1481', 'tse']
['1307', '29.75', '29.25', '29.50', '29.45', '730', 'tse']
['1308', '19.25', '19.05', '19.05', '19.20', '690', 'tse']
['1309', '15.55', '15.35', '15.40', '15.50', '407', 'tse']
['1310', '13.45', '13.30', '13.45', '13.35', '477', 'tse']
['1312', '13.35', '13.15', '13.15', '13.30', '1406', 'tse']
['1313', '13.35', '13.20', '13.25', '13.25', '605', 'tse']
['1314', '9.47', '9.38', '9.45', '9.39', '5893', 'tse']
['1315', '72.50', '72.30', '72.30', '72.50', '9', 'tse']
['1316', '19.85', '19.20', '19.45', '19.20', '9243', 'tse']
['1319', '126.50', '119.00', '126.50', '125.00', '25733', 'tse']
['1321', '35.15', '34.55', '34.80', '34.70', '84', 'tse']
['1323', '30.95', '30.95', '30.95', '30.95', '21', 'tse']
['1324', '15.05', '14.50', '15.05', '14.55', '937', 'tse']
['1325', '29.75', '29.30', '29.50', '29.30', '553', 'tse']
['1326', '55.70', '54.90', '55.00', '55.20', '4418', 'tse']
['1336', '20.55', '20.45', '20.45', '20.50', '36', 'otc']
['1337', '7.19', '7.14', '7.17', '7.14', '374', 'tse']
['1338', '35.70', '35.30', '35.60', '35.60', '24', 'tse']
['1339', '69.30', '67.70', '69.00', '68.10', '111', 'tse']
['1340', '9.97', '9.94', '9.96', '9.96', '47', 'tse']
['1341', '64.70', '64.00', '64.60', '64.00', '101', 'tse']
['1342', '142.00', '135.50', '142.00', '137.50', '1221', 'tse']
['1402', '33.25', '32.95', '33.05', '33.25', '4792', 'tse']
['1409', '15.70', '15.60', '15.70', '15.60', '1217', 'tse']
['1410', '36.00', '35.60', '36.00', '35.60', '42', 'tse']
['1413', '9.02', '9.00', '9.02', '9.00', '77', 'tse']
['1414', '19.50', '19.20', '19.45', '19.45', '147', 'tse']
['1416', '12.15', '12.05', '12.10', '12.05', '348', 'tse']
['1417', '11.50', '11.35', '11.50', '11.35', '200', 'tse']
['1418', '33.80', '33.25', '33.25', '33.65', '47', 'tse']
['1419', '45.70', '45.50', '45.50', '45.60', '33', 'tse']
['1423', '31.05', '31.00', '31.05', '31.00', '56', 'tse']
['1432', '19.40', '18.85', '19.40', '18.85', '1021', 'tse']
['1434', '22.35', '22.10', '22.15', '22.20', '1075', 'tse']
['1435', '50.50', '48.90', '50.50', '50.50', '11', 'tse']
['1436', '113.00', '110.50', '111.50', '111.50', '193', 'tse']
['1437', '32.55', '32.00', '32.50', '32.00', '238', 'tse']
['1438', '48.20', '46.95', '47.50', '48.00', '245', 'tse']
['1439', '28.35', '27.90', '28.25', '28.00', '54', 'tse']
['1440', '15.35', '15.10', '15.35', '15.10', '1156', 'tse']
['1441', '13.60', '13.40', '13.60', '13.50', '21', 'tse']
['1442', '45.25', '44.30', '45.25', '45.00', '1105', 'tse']
['1443', '28.55', '28.35', '28.45', '28.40', '23', 'tse']
['1444', '9.18', '9.09', '9.13', '9.11', '1855', 'tse']
['1445', '22.05', '21.85', '21.95', '21.85', '576', 'tse']
['1446', '34.05', '33.60', '34.00', '33.75', '95', 'tse']
['1447', '8.08', '8.00', '8.08', '8.03', '854', 'tse']
['1449', '19.30', '18.80', '19.15', '18.95', '377', 'tse']
['1451', '19.35', '19.25', '19.25', '19.30', '102', 'tse']
['1452', '16.45', '16.30', '16.40', '16.30', '149', 'tse']
['1453', '15.25', '15.00', '15.00', '15.00', '193', 'tse']
['1454', '15.85', '15.75', '15.75', '15.80', '24', 'tse']
['1455', '15.20', '14.10', '14.80', '14.40', '6401', 'tse']
['1456', '19.95', '19.00', '19.95', '19.05', '234', 'tse']
['1457', '20.00', '19.75', '19.85', '19.95', '716', 'tse']
['1459', '9.80', '9.62', '9.62', '9.77', '261', 'tse']
['1460', '8.45', '8.24', '8.45', '8.33', '995', 'tse']
['1463', '18.40', '18.25', '18.30', '18.25', '54', 'tse']
['1464', '13.00', '12.80', '12.95', '12.80', '413', 'tse']
['1465', '15.30', '15.00', '15.30', '15.15', '137', 'tse']
['1466', '13.50', '13.20', '13.20', '13.50', '150', 'tse']
['1467', '10.95', '10.80', '10.90', '10.95', '1099', 'tse']
['1468', '13.95', '13.60', '13.75', '13.75', '48', 'tse']
['1470', '--', '--', '--', '--', '0', 'tse']
['1471', '16.40', '16.10', '16.40', '16.10', '515', 'tse']
['1472', '72.80', '71.70', '71.70', '71.90', '52', 'tse']
['1473', '31.35', '30.55', '31.35', '30.85', '320', 'tse']
['1474', '12.35', '12.25', '12.30', '12.35', '130', 'tse']
['1475', '51.00', '50.20', '51.00', '50.60', '32', 'tse']
['1476', '558.00', '547.00', '547.00', '553.00', '355', 'tse']
['1477', '372.50', '363.00', '364.00', '371.50', '3358', 'tse']
['1503', '293.50', '278.00', '283.00', '292.00', '4957', 'tse']
['1504', '58.10', '55.40', '57.30', '58.10', '49476', 'tse']
['1506', '16.10', '15.95', '16.05', '16.10', '164', 'tse']
['1512', '10.80', '10.50', '10.50', '10.55', '25', 'tse']
['1513', '180.50', '173.00', '179.00', '179.50', '27388', 'tse']
['1514', '111.00', '108.00', '110.50', '110.00', '8592', 'tse']
['1515', '50.00', '49.25', '50.00', '49.70', '464', 'tse']
['1516', '16.45', '16.40', '16.45', '16.45', '15', 'tse']
['1517', '16.40', '16.15', '16.30', '16.15', '328', 'tse']
['1519', '686.00', '661.00', '670.00', '683.00', '709', 'tse']
['1521', '40.30', '39.95', '40.30', '40.05', '35', 'tse']
['1522', '54.80', '52.30', '54.80', '54.00', '7845', 'tse']
['1524', '37.20', '36.10', '37.05', '36.25', '5912', 'tse']
['1525', '74.70', '74.40', '74.60', '74.40', '65', 'tse']
['1526', '34.25', '33.80', '34.25', '33.90', '73', 'tse']
['1527', '41.75', '41.65', '41.75', '41.65', '259', 'tse']
['1528', '13.15', '12.70', '13.15', '12.75', '885', 'tse']
['1529', '34.80', '33.65', '34.80', '33.85', '2154', 'tse']
['1530', '32.95', '32.50', '32.80', '32.50', '76', 'tse']
['1531', '13.35', '13.15', '13.30', '13.20', '141', 'tse']
['1532', '37.40', '36.95', '37.40', '37.35', '1222', 'tse']
['1533', '48.65', '47.85', '48.60', '47.90', '143', 'tse']
['1535', '77.20', '74.70', '75.90', '76.80', '897', 'tse']
['1536', '51.40', '50.60', '51.40', '50.60', '796', 'tse']
['1537', '140.00', '139.50', '139.50', '139.50', '54', 'tse']
['1538', '19.55', '19.55', '19.55', '19.55', '3', 'tse']
['1539', '24.80', '24.50', '24.60', '24.55', '149', 'tse']
['1540', '19.15', '18.85', '19.15', '18.85', '487', 'tse']
['1541', '31.85', '31.65', '31.80', '31.75', '20', 'tse']
['1558', '99.60', '99.00', '99.00', '99.20', '73', 'tse']
['1560', '270.00', '257.50', '260.00', '261.50', '6062', 'tse']
['1565', '190.00', '188.00', '190.00', '189.50', '66', 'otc']
['1568', '31.10', '30.45', '31.10', '30.45', '268', 'tse']
['1569', '24.80', '24.60', '24.60', '24.60', '142', 'otc']
['1570', '33.00', '31.40', '31.70', '33.00', '345', 'otc']
['1580', '160.00', '159.00', '159.00', '160.00', '27', 'otc']
['1582', '92.90', '88.50', '89.50', '91.50', '9177', 'tse']
['1583', '77.90', '76.00', '77.80', '76.10', '31', 'tse']
['1584', '35.95', '34.95', '35.95', '35.25', '3383', 'otc']
['1586', '32.10', '31.90', '32.10', '32.00', '25', 'otc']
['1587', '30.95', '29.05', '29.50', '30.70', '2748', 'tse']
['1589', '52.70', '51.10', '52.70', '51.30', '692', 'tse']
['1590', '1,135.00', '1,115.00', '1,120.00', '1,120.00', '359', 'tse']
['1591', '67.70', '66.10', '66.60', '66.90', '1501', 'otc']
['1593', '47.45', '47.35', '47.40', '47.35', '6', 'otc']
['1595', '36.10', '35.95', '36.10', '35.95', '15', 'otc']
