['1101', '32.00', '31.75', '31.80', '32.00', '10205', 'tse']
['1102', '40.65', '40.25', '40.30', '40.60', '4270', 'tse']
['1103', '17.40', '17.20', '17.35', '17.30', '443', 'tse']
['1104', '31.65', '31.15', '31.15', '31.45', '2453', 'tse']
['1108', '15.90', '15.80', '15.80', '15.85', '346', 'tse']
['1109', '17.65', '17.50', '17.60', '17.60', '451', 'tse']
['1110', '18.00', '17.90', '18.00', '18.00', '48', 'tse']
['1201', '19.20', '18.80', '19.00', '18.95', '486', 'tse']
['1203', '53.80', '51.30', '51.40', '52.10', '35', 'tse']
['1210', '60.40', '59.50', '59.50', '60.10', '2077', 'tse']
['1213', '7.07', '7.03', '7.03', '7.03', '21', 'tse']
['1215', '102.00', '99.60', '99.60', '101.50', '1349', 'tse']
['1216', '76.80', '76.00', '76.50', '76.60', '5488', 'tse']
['1217', '11.80', '11.70', '11.75', '11.75', '697', 'tse']
['1218', '21.55', '21.30', '21.35', '21.50', '636', 'tse']
['1219', '18.70', '18.60', '18.70', '18.65', '628', 'tse']
['1220', '13.95', '13.85', '13.90', '13.85', '215', 'tse']
['1225', '56.10', '55.80', '55.80', '56.10', '192', 'tse']
['1227', '37.70', '37.55', '37.55', '37.70', '385', 'tse']
['1229', '69.40', '68.30', '69.40', '68.60', '1388', 'tse']
['1231', '95.00', '92.30', '92.30', '94.50', '712', 'tse']
['1232', '144.50', '143.50', '144.00', '144.00', '39', 'tse']
['1233', '34.20', '33.65', '34.20', '33.85', '66', 'tse']
['1234', '40.40', '40.15', '40.15', '40.35', '136', 'tse']
['1235', '82.60', '80.10', '80.10', '80.20', '15', 'tse']
['1236', '23.75', '23.40', '23.55', '23.75', '53', 'tse']
['1240', '52.70', '49.25', '51.00', '49.25', '404', 'otc']
['1256', '239.00', '235.50', '235.50', '239.00', '15', 'tse']
['1259', '74.60', '73.90', '74.00', '74.60', '15', 'otc']
['1264', '312.00', '310.00', '310.00', '312.00', '5', 'otc']
