['1101', '32.10', '31.90', '32.00', '32.00', '17812', 'tse']
['1102', '40.60', '40.00', '40.25', '40.00', '6342', 'tse']
['1103', '17.70', '17.50', '17.55', '17.60', '238', 'tse']
['1104', '31.30', '30.85', '31.00', '31.20', '2127', 'tse']
['1108', '16.30', '16.10', '16.20', '16.25', '1221', 'tse']
['1109', '17.90', '17.85', '17.90', '17.90', '199', 'tse']
['1110', '18.00', '17.85', '17.95', '17.95', '51', 'tse']
['1201', '19.05', '18.90', '19.00', '18.95', '241', 'tse']
['1203', '53.40', '52.80', '52.90', '52.90', '8', 'tse']
['1210', '60.60', '60.00', '60.30', '60.40', '2214', 'tse']
['1213', '7.12', '7.00', '7.00', '7.06', '42', 'tse']
['1215', '99.40', '98.60', '99.00', '99.30', '395', 'tse']
['1216', '76.50', '75.60', '75.80', '76.50', '4110', 'tse']
['1217', '11.90', '11.80', '11.80', '11.85', '859', 'tse']
['1218', '22.35', '21.15', '21.15', '21.90', '2993', 'tse']
['1219', '18.95', '18.80', '18.85', '18.90', '436', 'tse']
['1220', '13.95', '13.85', '13.95', '13.90', '124', 'tse']
['1225', '55.00', '54.60', '54.90', '55.00', '5', 'tse']
['1227', '37.70', '37.50', '37.50', '37.55', '351', 'tse']
['1229', '67.60', '66.80', '67.30', '67.30', '850', 'tse']
['1231', '88.20', '87.30', '87.30', '88.20', '203', 'tse']
['1232', '145.00', '143.50', '143.50', '145.00', '53', 'tse']
['1233', '34.80', '34.70', '34.75', '34.75', '13', 'tse']
['1234', '40.25', '40.00', '40.20', '40.05', '108', 'tse']
['1235', '85.40', '83.20', '84.80', '83.80', '39', 'tse']
['1236', '24.15', '23.85', '24.15', '24.05', '18', 'tse']
['1240', '50.00', '49.20', '50.00', '49.75', '53', 'otc']
['1256', '248.00', '247.00', '247.00', '247.00', '16', 'tse']
['1259', '74.90', '74.00', '74.90', '74.10', '18', 'otc']
['1264', '302.50', '302.00', '302.00', '302.50', '4', 'otc']
['1268', '153.50', '151.00', '151.00', '152.00', '122', 'otc']
['1301', '71.00', '70.40', '70.40', '70.50', '5911', 'tse']
['1303', '57.20', '56.10', '56.80', '56.30', '14571', 'tse']
['1304', '18.10', '17.85', '17.85', '17.90', '725', 'tse']
['1305', '19.80', '19.40', '19.80', '19.45', '2357', 'tse']
['1307', '27.00', '26.80', '26.90', '26.90', '272', 'tse']
['1308', '21.80', '21.50', '21.60', '21.55', '799', 'tse']
['1309', '16.55', '16.20', '16.20', '16.25', '499', 'tse']
['1310', '14.05', '13.90', '14.00', '13.95', '838', 'tse']
['1312', '14.10', '13.95', '14.00', '14.05', '2025', 'tse']
['1313', '14.50', '14.35', '14.50', '14.50', '847', 'tse']
['1314', '9.36', '9.29', '9.31', '9.30', '7748', 'tse']
['1315', '71.90', '71.80', '71.80', '71.90', '16', 'tse']
['1316', '26.20', '24.15', '25.00', '26.20', '65869', 'tse']
['1319', '105.00', '100.00', '100.00', '103.00', '5316', 'tse']
['1321', '35.90', '35.80', '35.80', '35.85', '31', 'tse']
['1323', '31.10', '31.05', '31.10', '31.10', '24', 'tse']
['1324', '16.40', '16.05', '16.15', '16.20', '275', 'tse']
['1325', '32.85', '32.20', '32.40', '32.55', '652', 'tse']
['1326', '55.60', '55.00', '55.10', '55.00', '3411', 'tse']
['1336', '22.35', '22.00', '22.35', '22.15', '164', 'otc']
['1337', '7.81', '7.63', '7.69', '7.63', '534', 'tse']
['1338', '40.00', '36.90', '37.35', '38.60', '439', 'tse']
['1339', '74.20', '71.40', '71.40', '73.40', '575', 'tse']
['1340', '11.20', '10.70', '10.90', '10.85', '357', 'tse']
['1341', '61.80', '61.60', '61.70', '61.60', '7', 'tse']
['1342', '136.00', '132.00', '133.00', '134.50', '1339', 'tse']
['1402', '32.20', '31.70', '31.70', '32.00', '3921', 'tse']
['1409', '17.20', '16.60', '16.75', '16.95', '16835', 'tse']
['1410', '36.90', '36.70', '36.75', '36.70', '37', 'tse']
['1413', '9.12', '9.05', '9.12', '9.07', '26', 'tse']
['1414', '19.55', '18.80', '19.35', '18.90', '688', 'tse']
['1416', '12.85', '12.25', '12.25', '12.85', '1272', 'tse']
['1417', '12.00', '11.90', '12.00', '12.00', '253', 'tse']
['1418', '32.60', '29.85', '30.50', '30.75', '498', 'tse']
['1419', '45.35', '45.00', '45.05', '45.25', '64', 'tse']
['1423', '31.20', '31.10', '31.20', '31.10', '61', 'tse']
['1432', '23.40', '20.40', '22.80', '21.50', '7211', 'tse']
['1434', '23.35', '23.25', '23.30', '23.25', '1316', 'tse']
['1435', '51.00', '50.70', '50.80', '50.90', '12', 'tse']
['1436', '94.50', '93.80', '94.50', '94.30', '63', 'tse']
['1437', '31.80', '31.55', '31.60', '31.65', '205', 'tse']
['1438', '47.55', '46.05', '46.05', '47.05', '223', 'tse']
['1439', '25.00', '24.75', '24.80', '24.90', '25', 'tse']
['1440', '15.45', '15.30', '15.30', '15.35', '539', 'tse']
['1441', '13.90', '13.35', '13.90', '13.85', '58', 'tse']
['1442', '39.05', '37.50', '38.90', '38.90', '533', 'tse']
['1443', '28.55', '28.50', '28.50', '28.50', '11', 'tse']
['1444', '10.10', '10.00', '10.05', '10.05', '1324', 'tse']
['1445', '27.40', '26.75', '27.25', '27.15', '532', 'tse']
['1446', '35.60', '34.70', '34.75', '35.15', '141', 'tse']
['1447', '8.59', '8.44', '8.53', '8.50', '2003', 'tse']
['1449', '21.85', '21.30', '21.70', '21.75', '1187', 'tse']
['1451', '19.05', '18.80', '18.80', '18.95', '168', 'tse']
['1452', '16.60', '16.45', '16.60', '16.50', '143', 'tse']
['1453', '15.20', '14.80', '14.80', '14.95', '341', 'tse']
['1454', '16.20', '16.15', '16.20', '16.20', '56', 'tse']
['1455', '13.65', '12.70', '12.90', '13.55', '8537', 'tse']
['1456', '23.95', '22.50', '23.65', '22.55', '1294', 'tse']
['1457', '18.55', '18.45', '18.50', '18.50', '128', 'tse']
['1459', '9.89', '9.81', '9.82', '9.89', '101', 'tse']
['1460', '7.22', '7.12', '7.12', '7.13', '560', 'tse']
['1463', '18.35', '18.15', '18.30', '18.35', '124', 'tse']
['1464', '13.45', '13.25', '13.35', '13.30', '296', 'tse']
['1465', '14.80', '14.55', '14.70', '14.70', '220', 'tse']
['1466', '13.40', '13.20', '13.40', '13.20', '116', 'tse']
['1467', '11.05', '10.90', '11.00', '10.95', '235', 'tse']
['1468', '14.95', '14.45', '14.60', '14.85', '48', 'tse']
['1470', '--', '--', '--', '--', '0', 'tse']
['1471', '18.25', '16.35', '16.65', '18.25', '11699', 'tse']
['1472', '84.50', '81.10', '82.50', '84.20', '232', 'tse']
['1473', '28.45', '28.15', '28.15', '28.15', '118', 'tse']
['1474', '13.45', '12.80', '13.25', '12.85', '944', 'tse']
['1475', '50.50', '50.00', '50.00', '50.10', '64', 'tse']
['1476', '552.00', '546.00', '548.00', '546.00', '186', 'tse']
['1477', '369.00', '363.00', '369.00', '363.00', '1474', 'tse']
['1503', '183.00', '179.00', '182.00', '180.00', '9379', 'tse']
['1504', '50.90', '48.60', '48.80', '50.50', '29177', 'tse']
['1506', '16.45', '16.20', '16.45', '16.40', '122', 'tse']
['1512', '10.55', '10.00', '10.05', '10.50', '101', 'tse']
['1513', '175.00', '166.00', '168.50', '174.00', '46127', 'tse']
['1514', '119.50', '114.50', '116.50', '118.00', '38319', 'tse']
['1515', '47.40', '46.45', '46.95', '47.20', '1519', 'tse']
['1516', '17.30', '17.15', '17.30', '17.25', '51', 'tse']
['1517', '16.40', '16.10', '16.15', '16.20', '1315', 'tse']
['1519', '563.00', '536.00', '536.00', '555.00', '873', 'tse']
['1521', '43.40', '42.50', '42.95', '42.75', '94', 'tse']
['1522', '49.70', '47.85', '48.60', '48.35', '7089', 'tse']
['1524', '35.30', '34.40', '34.65', '34.40', '4228', 'tse']
['1525', '74.00', '73.30', '73.30', '73.50', '45', 'tse']
['1526', '34.20', '31.10', '31.25', '34.20', '1274', 'tse']
['1527', '40.90', '40.65', '40.75', '40.90', '298', 'tse']
['1528', '14.10', '13.85', '13.90', '14.10', '2034', 'tse']
['1529', '35.20', '34.60', '34.90', '34.60', '1657', 'tse']
['1530', '32.55', '32.25', '32.40', '32.55', '36', 'tse']
['1531', '13.60', '13.45', '13.45', '13.55', '88', 'tse']
