['1101', '31.90', '31.35', '31.35', '31.70', '12005', 'tse']
['1102', '41.60', '41.10', '41.60', '41.20', '2837', 'tse']
['1103', '17.35', '17.15', '17.20', '17.30', '293', 'tse']
['1104', '31.45', '31.05', '31.10', '31.30', '1344', 'tse']
['1108', '16.05', '15.90', '16.05', '15.95', '1021', 'tse']
['1109', '19.45', '19.20', '19.20', '19.30', '419', 'tse']
['1110', '17.95', '17.70', '17.80', '17.95', '56', 'tse']
['1201', '18.80', '18.70', '18.75', '18.70', '270', 'tse']
['1203', '--', '--', '--', '--', '0', 'tse']
['1210', '58.00', '57.40', '57.40', '57.80', '765', 'tse']
['1213', '7.19', '7.18', '7.18', '7.19', '14', 'tse']
['1215', '110.00', '105.50', '105.50', '109.00', '1129', 'tse']
['1216', '76.60', '74.90', '74.90', '76.60', '14944', 'tse']
['1217', '11.90', '11.80', '11.85', '11.90', '599', 'tse']
['1218', '22.15', '21.80', '22.00', '22.10', '645', 'tse']
['1219', '18.75', '18.65', '18.70', '18.65', '496', 'tse']
['1220', '15.80', '15.30', '15.30', '15.45', '1394', 'tse']
['1225', '56.70', '55.90', '55.90', '56.40', '27', 'tse']
['1227', '37.80', '37.60', '37.65', '37.70', '471', 'tse']
['1229', '67.40', '66.80', '66.80', '67.20', '528', 'tse']
['1231', '96.00', '94.80', '94.80', '96.00', '165', 'tse']
['1232', '145.50', '145.00', '145.00', '145.00', '63', 'tse']
['1233', '33.85', '33.50', '33.85', '33.70', '19', 'tse']
['1234', '41.10', '40.90', '40.95', '41.10', '155', 'tse']
['1235', '82.10', '80.80', '80.80', '81.80', '30', 'tse']
['1236', '23.55', '23.30', '23.45', '23.40', '45', 'tse']
['1240', '51.80', '51.20', '51.60', '51.20', '26', 'otc']
['1256', '232.50', '230.00', '230.50', '231.00', '16', 'tse']
['1259', '75.10', '74.10', '74.60', '75.10', '33', 'otc']
['1264', '306.00', '303.00', '304.50', '306.00', '6', 'otc']
['1268', '154.50', '153.50', '154.50', '154.00', '31', 'otc']
['1301', '69.20', '68.50', '69.20', '68.50', '5009', 'tse']
['1303', '56.50', '56.00', '56.00', '56.00', '5785', 'tse']
['1304', '16.05', '15.85', '16.05', '15.95', '1620', 'tse']
