['1101', '31.45', '31.05', '31.25', '31.15', '18817', 'tse']
['1102', '41.70', '41.05', '41.35', '41.25', '3793', 'tse']
['1103', '17.20', '17.05', '17.15', '17.10', '340', 'tse']
['1104', '32.25', '31.70', '32.25', '31.80', '1532', 'tse']
['1108', '15.90', '15.70', '15.90', '15.75', '535', 'tse']
['1109', '19.05', '18.90', '18.95', '18.95', '322', 'tse']
['1110', '18.00', '17.75', '17.75', '17.95', '63', 'tse']
['1201', '18.80', '18.65', '18.80', '18.70', '1299', 'tse']
['1203', '52.00', '50.40', '51.40', '51.60', '39', 'tse']
['1210', '58.40', '57.60', '58.20', '57.60', '1787', 'tse']
['1213', '7.27', '7.11', '7.13', '7.25', '160', 'tse']
['1215', '105.00', '103.00', '103.00', '105.00', '356', 'tse']
['1216', '76.60', '74.90', '76.30', '75.40', '10762', 'tse']
['1217', '11.90', '11.60', '11.75', '11.75', '2201', 'tse']
['1218', '22.50', '21.90', '22.30', '22.25', '1825', 'tse']
['1219', '18.60', '18.45', '18.60', '18.45', '449', 'tse']
['1220', '15.05', '14.80', '15.05', '14.90', '314', 'tse']
['1225', '55.50', '55.50', '55.50', '55.50', '3', 'tse']
['1227', '37.60', '37.35', '37.35', '37.60', '324', 'tse']
['1229', '68.20', '67.60', '67.60', '67.80', '701', 'tse']
['1231', '96.80', '94.80', '96.60', '94.90', '444', 'tse']
['1232', '144.50', '144.00', '144.50', '144.50', '68', 'tse']
['1233', '33.80', '33.70', '33.80', '33.70', '7', 'tse']
['1234', '40.95', '40.70', '40.95', '40.80', '151', 'tse']
['1235', '81.00', '80.50', '80.50', '80.50', '10', 'tse']
['1236', '23.45', '23.45', '23.45', '23.45', '10', 'tse']
['1240', '51.40', '50.80', '51.30', '51.30', '19', 'otc']
['1256', '233.50', '231.00', '231.50', '233.00', '13', 'tse']
['1259', '75.00', '74.30', '75.00', '75.00', '14', 'otc']
['1264', '----', '----', '----', '----', '0', 'otc']
['1268', '154.50', '152.50', '154.00', '154.50', '118', 'otc']
['1301', '67.40', '66.70', '67.40', '67.00', '6866', 'tse']
['1303', '55.30', '54.50', '55.00', '54.80', '6837', 'tse']
['1304', '16.60', '16.00', '16.55', '16.20', '3059', 'tse']
['1305', '18.45', '18.20', '18.35', '18.25', '854', 'tse']
['1307', '28.05', '27.50', '28.00', '27.85', '550', 'tse']
['1308', '19.65', '19.30', '19.65', '19.50', '1007', 'tse']
['1309', '15.30', '15.15', '15.25', '15.25', '565', 'tse']
['1310', '13.75', '13.60', '13.60', '13.75', '524', 'tse']
['1312', '13.50', '13.35', '13.50', '13.45', '1170', 'tse']
['1313', '13.30', '13.15', '13.30', '13.20', '1549', 'tse']
['1314', '9.45', '9.36', '9.45', '9.41', '9081', 'tse']
['1315', '72.40', '72.00', '72.40', '72.10', '46', 'tse']
['1316', '20.15', '19.05', '19.60', '19.40', '17365', 'tse']
['1319', '119.50', '116.50', '119.00', '118.00', '6566', 'tse']
['1321', '34.85', '34.30', '34.80', '34.60', '315', 'tse']
['1323', '31.00', '30.90', '30.95', '31.00', '32', 'tse']
['1324', '15.15', '14.95', '15.10', '15.05', '93', 'tse']
['1325', '29.90', '29.25', '29.80', '29.50', '587', 'tse']
['1326', '54.90', '54.30', '54.90', '54.60', '3399', 'tse']
['1336', '20.35', '20.20', '20.20', '20.35', '59', 'otc']
['1337', '7.16', '7.09', '7.11', '7.10', '366', 'tse']
['1338', '35.35', '34.90', '35.20', '35.05', '75', 'tse']
['1339', '71.70', '70.00', '70.90', '70.00', '385', 'tse']
['1340', '10.05', '9.93', '10.00', '10.05', '220', 'tse']
['1341', '64.80', '64.50', '64.80', '64.80', '28', 'tse']
['1342', '134.50', '131.00', '132.50', '134.00', '596', 'tse']
['1402', '32.75', '32.25', '32.50', '32.50', '4756', 'tse']
['1409', '15.95', '15.75', '15.90', '15.80', '2337', 'tse']
['1410', '35.95', '35.50', '35.80', '35.75', '63', 'tse']
['1413', '9.09', '9.00', '9.00', '9.07', '42', 'tse']
['1414', '19.50', '18.75', '18.90', '19.20', '587', 'tse']
['1416', '12.25', '11.95', '12.20', '12.00', '996', 'tse']
['1417', '11.35', '11.15', '11.30', '11.30', '505', 'tse']
['1418', '31.60', '31.20', '31.50', '31.60', '41', 'tse']
['1419', '45.65', '45.05', '45.65', '45.25', '40', 'tse']
['1423', '31.15', '31.00', '31.00', '31.05', '87', 'tse']
['1432', '19.50', '19.30', '19.50', '19.45', '355', 'tse']
['1434', '22.15', '22.00', '22.10', '22.10', '1095', 'tse']
['1435', '50.00', '49.75', '49.75', '49.95', '5', 'tse']
['1436', '108.50', '106.50', '108.50', '108.00', '251', 'tse']
['1437', '31.65', '31.45', '31.60', '31.65', '98', 'tse']
['1438', '44.50', '43.70', '43.75', '44.30', '75', 'tse']
['1439', '28.00', '25.60', '26.50', '26.10', '383', 'tse']
['1440', '15.30', '15.10', '15.15', '15.25', '1692', 'tse']
['1441', '13.40', '13.35', '13.35', '13.35', '15', 'tse']
['1442', '43.50', '42.40', '42.50', '43.35', '1445', 'tse']
['1443', '28.35', '28.30', '28.35', '28.35', '17', 'tse']
['1444', '9.30', '9.15', '9.24', '9.27', '1223', 'tse']
['1445', '21.80', '21.25', '21.70', '21.30', '977', 'tse']
['1446', '34.00', '33.35', '34.00', '33.50', '64', 'tse']
['1447', '8.04', '7.92', '7.93', '8.01', '850', 'tse']
['1449', '19.45', '18.85', '19.05', '19.20', '424', 'tse']
['1451', '19.20', '18.95', '19.00', '19.20', '134', 'tse']
['1452', '16.50', '16.20', '16.35', '16.25', '205', 'tse']
['1453', '14.80', '14.65', '14.80', '14.70', '113', 'tse']
['1454', '16.10', '15.95', '16.10', '15.95', '53', 'tse']
['1455', '15.30', '14.15', '14.30', '14.50', '7384', 'tse']
['1456', '19.60', '19.00', '19.45', '19.00', '289', 'tse']
['1457', '21.60', '20.65', '20.65', '20.80', '2902', 'tse']
['1459', '9.56', '9.35', '9.45', '9.35', '148', 'tse']
['1460', '8.39', '7.73', '7.73', '8.30', '6045', 'tse']
['1463', '18.20', '18.05', '18.20', '18.10', '23', 'tse']
['1464', '12.95', '12.85', '12.95', '12.90', '233', 'tse']
['1465', '15.25', '15.05', '15.20', '15.10', '171', 'tse']
['1466', '13.70', '13.35', '13.60', '13.35', '141', 'tse']
['1467', '11.05', '10.85', '11.05', '10.90', '596', 'tse']
['1468', '13.60', '13.15', '13.35', '13.60', '66', 'tse']
['1470', '20.90', '20.30', '20.30', '20.90', '26', 'tse']
['1471', '16.70', '16.50', '16.70', '16.55', '673', 'tse']
['1472', '80.80', '76.00', '80.80', '76.30', '83', 'tse']
['1473', '32.00', '31.45', '31.70', '31.45', '383', 'tse']
['1474', '12.05', '11.90', '11.95', '12.05', '113', 'tse']
['1475', '48.05', '47.60', '48.00', '48.05', '30', 'tse']
['1476', '545.00', '531.00', '540.00', '541.00', '1481', 'tse']
['1477', '407.00', '394.50', '407.00', '400.00', '2021', 'tse']
['1503', '280.00', '268.50', '275.50', '274.00', '54313', 'tse']
['1504', '59.60', '55.70', '59.40', '55.90', '42212', 'tse']
['1506', '16.25', '15.90', '15.90', '16.05', '232', 'tse']
['1512', '11.30', '11.15', '11.15', '11.20', '11', 'tse']
['1513', '187.50', '177.00', '183.00', '177.50', '41244', 'tse']
['1514', '116.00', '110.00', '114.00', '112.50', '25774', 'tse']
['1515', '52.40', '48.90', '48.90', '51.20', '3174', 'tse']
['1516', '16.50', '16.35', '16.45', '16.45', '22', 'tse']
['1517', '16.85', '16.35', '16.55', '16.35', '971', 'tse']
['1519', '716.00', '699.00', '716.00', '714.00', '635', 'tse']
['1521', '40.30', '39.50', '39.50', '39.75', '60', 'tse']
['1522', '50.10', '48.55', '49.45', '49.80', '4430', 'tse']
['1524', '36.20', '35.60', '35.95', '35.65', '2826', 'tse']
['1525', '74.20', '73.50', '73.50', '74.20', '37', 'tse']
['1526', '33.90', '33.20', '33.80', '33.35', '154', 'tse']
['1527', '41.75', '41.35', '41.70', '41.45', '257', 'tse']
['1528', '12.95', '12.70', '12.75', '12.80', '950', 'tse']
['1529', '35.35', '34.45', '35.00', '35.15', '3395', 'tse']
['1530', '31.95', '31.80', '31.90', '31.95', '25', 'tse']
['1531', '13.40', '13.30', '13.40', '13.35', '45', 'tse']
['1532', '36.65', '36.25', '36.55', '36.45', '1299', 'tse']
['1533', '48.50', '47.70', '47.70', '48.40', '113', 'tse']
['1535', '74.60', '72.50', '74.50', '72.50', '458', 'tse']
['1536', '51.70', '51.10', '51.50', '51.60', '726', 'tse']
['1537', '140.00', '139.00', '139.50', '139.50', '101', 'tse']
['1538', '21.10', '19.50', '20.85', '19.50', '34', 'tse']
['1539', '24.75', '24.40', '24.45', '24.55', '108', 'tse']
['1540', '18.80', '18.65', '18.75', '18.70', '483', 'tse']
['1541', '31.50', '30.95', '31.15', '31.30', '22', 'tse']
['1558', '98.50', '97.80', '98.30', '98.10', '126', 'tse']
['1560', '247.50', '242.00', '247.00', '245.00', '1625', 'tse']
['1565', '192.00', '188.50', '192.00', '189.50', '121', 'otc']
['1568', '31.15', '30.75', '30.75', '31.15', '250', 'tse']
['1569', '24.70', '24.60', '24.70', '24.60', '125', 'otc']
['1570', '33.20', '31.20', '31.75', '32.90', '3043', 'otc']
['1580', '158.00', '156.50', '158.00', '158.00', '83', 'otc']
['1582', '88.50', '86.10', '88.40', '88.50', '3283', 'tse']
['1583', '76.40', '75.60', '76.40', '75.80', '30', 'tse']
['1584', '35.20', '33.85', '34.20', '34.85', '3929', 'otc']
['1586', '32.15', '31.80', '32.15', '32.15', '82', 'otc']
['1587', '27.90', '26.05', '26.70', '27.25', '1369', 'tse']
['1589', '52.20', '51.20', '51.30', '51.90', '2378', 'tse']
['1590', '1,090.00', '1,060.00', '1,065.00', '1,090.00', '441', 'tse']
['1591', '61.20', '60.30', '60.50', '60.60', '247', 'otc']
['1593', '48.15', '48.00', '48.00', '48.05', '16', 'otc']
['1595', '36.80', '36.45', '36.50', '36.65', '10', 'otc']
['1597', '76.00', '74.10', '74.50', '75.00', '792', 'tse']
['1598', '31.00', '30.35', '30.35', '30.80', '121', 'tse']
['1599', '33.00', '32.35', '32.35', '32.70', '70', 'otc']
['1603', '38.90', '37.95', '37.95', '38.70', '3059', 'tse']
['1604', '29.60', '29.45', '29.50', '29.60', '517', 'tse']
['1605', '38.00', '37.20', '37.20', '37.55', '25909', 'tse']
['1608', '26.70', '25.55', '25.65', '26.20', '25240', 'tse']
['1609', '42.45', '39.40', '39.40', '42.45', '116252', 'tse']
['1611', '17.00', '16.35', '16.35', '16.90', '2265', 'tse']
['1612', '30.20', '28.25', '28.40', '29.40', '16355', 'tse']
['1614', '38.80', '38.35', '38.75', '38.35', '18', 'tse']
['1615', '59.40', '56.60', '58.60', '58.90', '1455', 'tse']
['1616', '18.85', '17.35', '17.35', '18.85', '13189', 'tse']
['1617', '16.70', '16.20', '16.30', '16.40', '220', 'tse']
['1618', '37.50', '35.70', '36.00', '36.65', '23397', 'tse']
['1626', '16.35', '16.05', '16.05', '16.25', '75', 'tse']
['1701', '22.70', '22.45', '22.70', '22.65', '858', 'tse']
['1702', '59.00', '58.10', '59.00', '58.20', '853', 'tse']
