['1101', '33.20', '32.30', '32.35', '32.35', '26018', 'tse']
['1102', '42.25', '41.70', '41.80', '42.05', '4177', 'tse']
['1103', '17.80', '17.55', '17.70', '17.60', '408', 'tse']
['1104', '33.00', '32.55', '32.60', '32.75', '2519', 'tse']
['1108', '16.55', '16.30', '16.40', '16.30', '1570', 'tse']
['1109', '19.50', '19.35', '19.35', '19.45', '435', 'tse']
['1110', '18.70', '18.20', '18.20', '18.60', '436', 'tse']
['1201', '18.80', '18.70', '18.80', '18.70', '338', 'tse']
['1203', '--', '--', '--', '--', '1', 'tse']
['1210', '56.90', '56.20', '56.90', '56.30', '3744', 'tse']
['1213', '7.20', '7.11', '7.19', '7.11', '25', 'tse']
['1215', '106.50', '105.00', '106.00', '105.00', '325', 'tse']
['1216', '77.00', '76.20', '76.20', '76.70', '4946', 'tse']
['1217', '11.95', '11.85', '11.90', '11.90', '669', 'tse']
['1218', '21.50', '21.25', '21.30', '21.30', '641', 'tse']
['1219', '18.80', '18.65', '18.65', '18.65', '287', 'tse']
['1220', '15.20', '15.00', '15.05', '15.05', '514', 'tse']
['1225', '57.60', '56.70', '57.30', '57.30', '26', 'tse']
['1227', '38.25', '38.05', '38.25', '38.15', '235', 'tse']
['1229', '68.20', '67.30', '67.50', '67.70', '651', 'tse']
['1231', '98.00', '96.70', '96.70', '96.80', '112', 'tse']
['1232', '145.50', '145.00', '145.50', '145.00', '46', 'tse']
['1233', '33.55', '33.50', '33.50', '33.55', '17', 'tse']
['1234', '41.70', '41.40', '41.65', '41.60', '192', 'tse']
['1235', '82.50', '81.30', '81.90', '82.40', '16', 'tse']
['1236', '23.50', '23.25', '23.45', '23.25', '22', 'tse']
['1240', '52.70', '52.00', '52.60', '52.00', '32', 'otc']
['1256', '232.00', '215.50', '232.00', '224.50', '80', 'tse']
['1259', '74.40', '74.20', '74.40', '74.40', '4', 'otc']
['1264', '314.50', '305.00', '314.50', '306.50', '14', 'otc']
['1268', '152.00', '151.00', '152.00', '151.50', '29', 'otc']
['1301', '70.40', '69.50', '69.70', '69.60', '8137', 'tse']
['1303', '57.30', '56.70', '57.10', '57.20', '5993', 'tse']
['1304', '17.10', '16.05', '16.05', '16.70', '7207', 'tse']
['1305', '19.20', '18.65', '18.65', '18.75', '1656', 'tse']
['1307', '29.75', '28.90', '29.35', '28.95', '709', 'tse']
['1308', '19.80', '19.30', '19.35', '19.60', '1381', 'tse']
['1309', '16.00', '15.65', '15.65', '15.80', '615', 'tse']
['1310', '13.20', '13.10', '13.10', '13.10', '750', 'tse']
['1312', '13.60', '13.30', '13.30', '13.35', '2335', 'tse']
['1313', '13.75', '13.40', '13.45', '13.55', '886', 'tse']
['1314', '10.00', '9.62', '9.75', '9.66', '40167', 'tse']
['1315', '71.90', '71.50', '71.60', '71.50', '27', 'tse']
['1316', '19.20', '18.55', '19.00', '18.70', '7386', 'tse']
['1319', '132.00', '126.50', '132.00', '127.50', '5076', 'tse']
['1321', '36.30', '35.95', '36.20', '36.00', '118', 'tse']
['1323', '31.15', '31.00', '31.00', '31.15', '32', 'tse']
['1324', '15.60', '14.65', '14.65', '15.20', '456', 'tse']
['1325', '29.25', '28.55', '28.60', '28.55', '311', 'tse']
['1326', '55.70', '55.00', '55.30', '55.00', '3937', 'tse']
['1336', '19.60', '19.20', '19.55', '19.40', '192', 'otc']
['1337', '7.30', '7.22', '7.30', '7.22', '290', 'tse']
['1338', '35.00', '34.55', '34.80', '34.60', '108', 'tse']
['1339', '72.00', '70.20', '70.30', '70.90', '329', 'tse']
['1340', '10.05', '9.96', '10.00', '10.05', '77', 'tse']
['1341', '63.80', '62.80', '63.80', '62.80', '90', 'tse']
['1342', '133.00', '127.50', '131.50', '127.50', '995', 'tse']
['1402', '32.85', '32.30', '32.40', '32.65', '4118', 'tse']
['1409', '16.45', '16.15', '16.20', '16.25', '2832', 'tse']
['1410', '35.35', '35.05', '35.10', '35.20', '9', 'tse']
['1413', '9.10', '9.04', '9.10', '9.08', '29', 'tse']
['1414', '18.70', '18.35', '18.65', '18.55', '358', 'tse']
['1416', '12.80', '12.40', '12.45', '12.50', '1003', 'tse']
['1417', '11.35', '11.25', '11.30', '11.30', '184', 'tse']
['1418', '33.60', '33.30', '33.60', '33.45', '105', 'tse']
['1419', '47.55', '47.20', '47.20', '47.30', '54', 'tse']
['1423', '31.10', '31.00', '31.10', '31.05', '37', 'tse']
['1432', '18.20', '18.00', '18.15', '18.00', '329', 'tse']
['1434', '22.60', '22.40', '22.50', '22.55', '720', 'tse']
['1435', '52.70', '52.70', '52.70', '52.70', '1', 'tse']
['1436', '116.00', '111.00', '111.00', '114.50', '463', 'tse']
['1437', '32.80', '32.60', '32.60', '32.70', '98', 'tse']
['1438', '55.00', '51.70', '51.70', '54.80', '757', 'tse']
['1439', '26.75', '26.00', '26.45', '26.55', '36', 'tse']
['1440', '16.05', '15.75', '15.75', '15.85', '1072', 'tse']
['1441', '13.40', '13.30', '13.40', '13.40', '53', 'tse']
['1442', '49.80', '48.50', '48.50', '48.55', '3580', 'tse']
