['1101', '32.20', '31.80', '32.05', '32.20', '17667', 'tse']
['1102', '42.05', '41.50', '41.75', '41.80', '4676', 'tse']
['1103', '17.70', '17.50', '17.60', '17.55', '367', 'tse']
['1104', '33.00', '32.50', '32.60', '32.65', '3774', 'tse']
['1108', '16.45', '16.20', '16.45', '16.35', '1135', 'tse']
['1109', '19.40', '19.20', '19.35', '19.35', '396', 'tse']
['1110', '18.40', '18.05', '18.30', '18.20', '93', 'tse']
['1201', '18.90', '18.80', '18.90', '18.80', '333', 'tse']
['1203', '48.85', '48.20', '48.65', '48.75', '22', 'tse']
['1210', '57.50', '57.10', '57.30', '57.20', '1731', 'tse']
['1213', '7.18', '7.12', '7.15', '7.12', '60', 'tse']
['1215', '107.00', '106.00', '106.50', '106.00', '295', 'tse']
['1216', '76.80', '75.60', '75.90', '76.80', '7764', 'tse']
['1217', '11.95', '11.80', '11.90', '11.90', '1078', 'tse']
['1218', '21.60', '21.20', '21.50', '21.35', '1062', 'tse']
['1219', '18.90', '18.65', '18.90', '18.65', '291', 'tse']
['1220', '15.10', '14.95', '15.05', '14.95', '367', 'tse']
['1225', '57.20', '56.90', '56.90', '57.10', '25', 'tse']
['1227', '38.40', '38.20', '38.20', '38.25', '362', 'tse']
['1229', '67.70', '67.30', '67.50', '67.50', '675', 'tse']
['1231', '97.00', '96.00', '97.00', '96.70', '251', 'tse']
['1232', '146.50', '145.50', '145.50', '145.50', '44', 'tse']
['1233', '33.90', '33.50', '33.90', '33.60', '23', 'tse']
['1234', '41.75', '41.45', '41.50', '41.65', '128', 'tse']
['1235', '82.50', '82.30', '82.50', '82.30', '5', 'tse']
['1236', '23.45', '23.30', '23.40', '23.45', '13', 'tse']
['1240', '53.00', '51.70', '52.10', '53.00', '67', 'otc']
['1256', '234.00', '233.50', '233.50', '233.50', '14', 'tse']
['1259', '75.20', '75.00', '75.00', '75.00', '4', 'otc']
['1264', '305.00', '304.50', '304.50', '305.00', '8', 'otc']
['1268', '153.00', '151.50', '153.00', '152.50', '61', 'otc']
['1301', '70.20', '69.60', '70.10', '69.70', '9751', 'tse']
['1303', '57.50', '56.50', '56.90', '57.40', '8351', 'tse']
['1304', '16.20', '16.10', '16.20', '16.10', '1339', 'tse']
['1305', '18.85', '18.55', '18.85', '18.60', '1044', 'tse']
['1307', '29.80', '29.05', '29.80', '29.45', '1013', 'tse']
['1308', '19.65', '19.35', '19.65', '19.35', '868', 'tse']
['1309', '15.85', '15.60', '15.85', '15.65', '404', 'tse']
['1310', '13.20', '13.05', '13.20', '13.10', '927', 'tse']
['1312', '13.40', '13.25', '13.35', '13.35', '1518', 'tse']
['1313', '13.55', '13.40', '13.50', '13.50', '795', 'tse']
['1314', '9.73', '9.60', '9.72', '9.63', '10505', 'tse']
['1315', '72.00', '71.50', '71.80', '71.50', '34', 'tse']
['1316', '19.70', '19.00', '19.55', '19.15', '6816', 'tse']
['1319', '134.50', '124.50', '125.00', '131.50', '11125', 'tse']
['1321', '36.45', '35.75', '35.90', '36.20', '241', 'tse']
['1323', '31.15', '30.95', '31.05', '31.15', '21', 'tse']
['1324', '14.90', '14.60', '14.85', '14.65', '122', 'tse']
['1325', '29.05', '28.55', '29.00', '28.55', '407', 'tse']
['1326', '55.30', '54.70', '55.10', '55.30', '5220', 'tse']
['1336', '19.85', '19.55', '19.85', '19.70', '219', 'otc']
['1337', '7.33', '7.25', '7.31', '7.31', '198', 'tse']
['1338', '35.20', '35.00', '35.20', '35.05', '71', 'tse']
['1339', '71.30', '69.80', '70.80', '70.40', '279', 'tse']
['1340', '10.00', '9.95', '10.00', '10.00', '31', 'tse']
['1341', '64.50', '63.20', '64.40', '63.20', '23', 'tse']
['1342', '132.00', '129.00', '131.50', '129.50', '485', 'tse']
['1402', '32.55', '32.20', '32.50', '32.35', '3477', 'tse']
['1409', '16.35', '16.05', '16.20', '16.25', '3152', 'tse']
['1410', '35.60', '35.15', '35.30', '35.30', '107', 'tse']
['1413', '9.37', '9.20', '9.20', '9.21', '66', 'tse']
['1414', '19.15', '18.15', '19.15', '18.45', '530', 'tse']
['1416', '12.45', '12.35', '12.40', '12.45', '495', 'tse']
['1417', '11.40', '11.25', '11.30', '11.30', '260', 'tse']
['1418', '33.75', '33.20', '33.20', '33.40', '72', 'tse']
['1419', '47.30', '47.00', '47.10', '47.20', '38', 'tse']
['1423', '31.10', '31.05', '31.05', '31.05', '51', 'tse']
['1432', '18.40', '18.05', '18.20', '18.15', '258', 'tse']
['1434', '22.60', '22.20', '22.35', '22.55', '1583', 'tse']
['1435', '52.30', '48.00', '48.00', '52.00', '6', 'tse']
['1436', '112.50', '108.50', '108.50', '110.50', '236', 'tse']
['1437', '32.70', '32.40', '32.50', '32.60', '84', 'tse']
['1438', '52.00', '49.95', '50.10', '51.70', '193', 'tse']
['1439', '26.50', '26.25', '26.25', '26.45', '19', 'tse']
['1440', '15.95', '15.70', '15.95', '15.80', '1241', 'tse']
['1441', '13.55', '13.30', '13.55', '13.50', '27', 'tse']
['1442', '48.35', '46.40', '46.50', '48.05', '2195', 'tse']
