['1101', '32.70', '31.85', '32.45', '32.00', '28010', 'tse']
['1102', '42.25', '41.50', '42.00', '42.00', '7780', 'tse']
['1103', '17.90', '17.30', '17.85', '17.55', '467', 'tse']
['1104', '33.50', '32.55', '33.05', '33.10', '1604', 'tse']
['1108', '17.30', '16.45', '16.95', '16.70', '4214', 'tse']
['1109', '19.40', '18.95', '19.40', '19.15', '534', 'tse']
['1110', '18.75', '18.20', '18.60', '18.60', '321', 'tse']
['1201', '18.60', '18.25', '18.60', '18.40', '799', 'tse']
['1203', '47.85', '45.80', '47.85', '47.00', '80', 'tse']
['1210', '56.30', '54.70', '55.70', '55.50', '5272', 'tse']
['1213', '7.35', '7.07', '7.08', '7.12', '166', 'tse']
['1215', '105.00', '102.00', '104.00', '103.50', '565', 'tse']
['1216', '76.80', '75.20', '76.80', '76.00', '11564', 'tse']
['1217', '11.95', '11.60', '11.90', '11.75', '2200', 'tse']
['1218', '20.95', '20.30', '20.95', '20.55', '1247', 'tse']
['1219', '18.95', '18.55', '18.95', '18.70', '424', 'tse']
['1220', '15.00', '14.75', '15.00', '15.00', '316', 'tse']
['1225', '57.50', '55.80', '56.90', '57.50', '40', 'tse']
['1227', '37.55', '37.10', '37.50', '37.30', '959', 'tse']
['1229', '66.20', '64.30', '66.00', '65.30', '2340', 'tse']
['1231', '97.60', '94.70', '97.60', '95.80', '589', 'tse']
['1232', '145.00', '143.00', '144.50', '143.50', '147', 'tse']
['1233', '33.30', '33.00', '33.25', '33.30', '13', 'tse']
['1234', '41.30', '41.00', '41.25', '41.15', '499', 'tse']
['1235', '81.90', '81.30', '81.50', '81.60', '16', 'tse']
['1236', '23.25', '23.20', '23.25', '23.20', '6', 'tse']
['1240', '51.00', '50.50', '51.00', '50.80', '47', 'otc']
['1256', '213.00', '210.00', '213.00', '211.00', '43', 'tse']
['1259', '74.90', '73.20', '74.00', '74.00', '29', 'otc']
['1264', '302.50', '299.50', '302.50', '300.50', '32', 'otc']
['1268', '150.50', '147.00', '150.00', '148.50', '111', 'otc']
['1301', '68.30', '66.80', '67.60', '67.10', '13000', 'tse']
['1303', '56.30', '54.50', '55.20', '55.00', '11193', 'tse']
['1304', '16.65', '15.95', '16.25', '16.00', '2562', 'tse']
['1305', '18.55', '17.85', '18.15', '17.95', '2170', 'tse']
['1307', '29.30', '27.80', '29.30', '28.60', '985', 'tse']
['1308', '19.10', '18.50', '18.95', '18.60', '1260', 'tse']
['1309', '15.45', '14.85', '15.40', '15.10', '1210', 'tse']
['1310', '13.15', '12.70', '12.95', '12.85', '786', 'tse']
['1312', '13.45', '12.80', '13.00', '12.90', '3273', 'tse']
['1313', '13.70', '13.05', '13.50', '13.30', '2118', 'tse']
['1314', '10.00', '9.62', '9.93', '9.81', '38424', 'tse']
['1315', '70.90', '70.30', '70.80', '70.50', '38', 'tse']
['1316', '18.00', '17.00', '17.90', '17.45', '8229', 'tse']
['1319', '126.50', '118.00', '125.00', '123.50', '4771', 'tse']
['1321', '37.45', '36.10', '36.80', '36.70', '496', 'tse']
['1323', '31.10', '30.95', '31.05', '31.10', '30', 'tse']
['1324', '15.15', '14.50', '15.00', '15.15', '245', 'tse']
['1325', '29.70', '27.30', '29.20', '27.65', '952', 'tse']
['1326', '53.90', '52.30', '53.30', '52.40', '12928', 'tse']
['1336', '19.60', '19.20', '19.35', '19.30', '74', 'otc']
['1337', '7.24', '7.09', '7.24', '7.12', '656', 'tse']
['1338', '33.85', '32.90', '33.65', '33.35', '142', 'tse']
['1339', '71.80', '67.50', '71.80', '68.80', '639', 'tse']
['1340', '10.05', '9.92', '10.05', '9.93', '114', 'tse']
['1341', '63.00', '62.40', '63.00', '62.90', '38', 'tse']
['1342', '127.50', '120.50', '125.50', '123.00', '606', 'tse']
['1402', '31.80', '31.15', '31.60', '31.15', '9336', 'tse']
['1409', '16.55', '16.00', '16.30', '16.20', '5304', 'tse']
['1410', '35.50', '34.70', '34.70', '34.85', '31', 'tse']
['1413', '9.01', '9.00', '9.00', '9.00', '53', 'tse']
['1414', '18.55', '18.25', '18.50', '18.55', '185', 'tse']
['1416', '12.80', '12.20', '12.50', '12.75', '1292', 'tse']
['1417', '11.20', '10.95', '11.20', '10.95', '401', 'tse']
['1418', '32.10', '30.05', '32.05', '31.55', '95', 'tse']
['1419', '47.85', '46.70', '47.45', '47.20', '112', 'tse']
['1423', '31.10', '30.90', '31.00', '30.95', '85', 'tse']
['1432', '17.85', '17.10', '17.85', '17.35', '498', 'tse']
['1434', '22.20', '22.00', '22.15', '22.05', '2530', 'tse']
['1435', '48.00', '43.20', '48.00', '47.80', '13', 'tse']
['1436', '121.00', '112.50', '117.50', '117.00', '869', 'tse']
['1437', '32.40', '31.50', '32.40', '31.95', '338', 'tse']
['1438', '57.40', '54.00', '56.00', '55.30', '732', 'tse']
['1439', '27.10', '25.80', '27.10', '26.40', '68', 'tse']
['1440', '15.95', '15.40', '15.70', '15.55', '1587', 'tse']
['1441', '13.10', '13.00', '13.05', '13.10', '46', 'tse']
['1442', '50.90', '49.15', '50.00', '50.40', '4518', 'tse']
['1443', '34.75', '31.50', '34.75', '33.30', '1213', 'tse']
['1444', '9.37', '9.06', '9.33', '9.15', '2025', 'tse']
['1445', '22.55', '21.70', '22.50', '21.95', '623', 'tse']
['1446', '34.55', '33.60', '34.55', '33.90', '144', 'tse']
['1447', '7.95', '7.71', '7.86', '7.80', '1447', 'tse']
['1449', '18.75', '17.65', '18.30', '18.10', '446', 'tse']
['1451', '20.25', '19.90', '20.25', '20.10', '241', 'tse']
['1452', '16.75', '16.60', '16.70', '16.75', '123', 'tse']
['1453', '23.95', '21.65', '23.95', '22.30', '1593', 'tse']
['1454', '15.50', '15.10', '15.25', '15.25', '52', 'tse']
['1455', '13.00', '12.35', '12.70', '12.90', '4054', 'tse']
['1456', '20.95', '19.75', '20.55', '20.50', '390', 'tse']
['1457', '20.25', '19.85', '20.25', '20.00', '553', 'tse']
['1459', '9.83', '9.52', '9.83', '9.57', '108', 'tse']
['1460', '7.79', '7.50', '7.79', '7.60', '905', 'tse']
['1463', '18.20', '17.85', '18.10', '17.90', '210', 'tse']
['1464', '13.05', '12.90', '13.05', '12.95', '438', 'tse']
['1465', '15.15', '14.75', '15.15', '14.90', '51', 'tse']
['1466', '12.40', '12.10', '12.40', '12.10', '124', 'tse']
['1467', '11.80', '11.45', '11.65', '11.55', '4288', 'tse']
['1468', '12.20', '11.60', '12.20', '11.85', '98', 'tse']
['1470', '19.90', '19.00', '19.20', '19.35', '47', 'tse']
['1471', '15.10', '14.60', '15.10', '14.70', '1216', 'tse']
['1472', '84.10', '75.00', '83.80', '79.00', '215', 'tse']
['1473', '30.40', '29.60', '30.30', '29.95', '229', 'tse']
['1474', '13.05', '12.70', '13.05', '12.95', '1017', 'tse']
['1475', '55.00', '52.80', '54.50', '54.10', '198', 'tse']
['1476', '499.50', '486.00', '491.00', '487.00', '1332', 'tse']
['1477', '381.50', '367.00', '372.00', '380.50', '2586', 'tse']
['1503', '353.00', '309.00', '337.00', '327.50', '31584', 'tse']
['1504', '63.30', '57.80', '60.60', '59.90', '71884', 'tse']
['1506', '16.45', '16.05', '16.35', '16.15', '421', 'tse']
['1512', '10.30', '10.00', '10.20', '10.15', '31', 'tse']
['1513', '208.50', '188.50', '203.00', '197.50', '80037', 'tse']
['1514', '174.50', '158.00', '172.00', '165.00', '6495', 'tse']
['1515', '50.50', '47.20', '50.50', '48.40', '1691', 'tse']
['1516', '17.30', '16.85', '17.05', '17.30', '102', 'tse']
['1517', '16.25', '15.50', '16.00', '15.80', '560', 'tse']
['1519', '982.00', '896.00', '955.00', '915.00', '13430', 'tse']
['1521', '38.00', '36.85', '38.00', '37.20', '59', 'tse']
['1522', '51.10', '48.25', '51.10', '49.80', '2847', 'tse']
['1524', '35.80', '33.30', '35.80', '34.35', '5489', 'tse']
['1525', '69.50', '67.80', '69.50', '68.10', '72', 'tse']
['1526', '34.10', '33.70', '34.10', '33.95', '158', 'tse']
['1527', '41.45', '40.65', '41.45', '41.00', '436', 'tse']
['1528', '12.45', '11.80', '12.45', '12.00', '1843', 'tse']
['1529', '38.45', '35.20', '38.00', '36.50', '11284', 'tse']
['1530', '33.00', '31.75', '33.00', '32.20', '199', 'tse']
['1531', '13.45', '13.10', '13.45', '13.30', '91', 'tse']
['1532', '42.90', '40.15', '42.80', '42.15', '10242', 'tse']
['1533', '45.50', '43.60', '45.50', '44.05', '237', 'tse']
['1535', '97.50', '85.20', '95.50', '89.50', '9638', 'tse']
['1536', '53.60', '51.50', '53.50', '52.60', '2383', 'tse']
['1537', '139.50', '135.50', '139.00', '137.50', '239', 'tse']
['1538', '--', '--', '--', '--', '0', 'tse']
['1539', '24.00', '23.40', '24.00', '23.60', '253', 'tse']
['1540', '20.50', '19.85', '20.50', '20.15', '1022', 'tse']
['1541', '31.95', '31.50', '31.80', '31.95', '59', 'tse']
['1558', '98.10', '96.90', '98.10', '97.20', '148', 'tse']
['1560', '254.50', '232.50', '254.50', '233.00', '5891', 'tse']
['1565', '183.50', '179.50', '183.50', '181.00', '217', 'otc']
['1568', '28.80', '27.65', '28.80', '28.35', '797', 'tse']
['1569', '23.95', '23.15', '23.95', '23.45', '510', 'otc']
['1570', '27.75', '25.25', '27.75', '25.25', '1437', 'otc']
['1580', '152.00', '150.00', '151.00', '151.50', '143', 'otc']
['1582', '90.60', '86.10', '90.50', '88.40', '2713', 'tse']
['1583', '73.80', '70.00', '72.30', '72.10', '111', 'tse']
['1584', '36.45', '34.50', '35.95', '35.35', '6728', 'otc']
['1586', '32.30', '31.50', '32.30', '31.85', '220', 'otc']
['1587', '49.50', '44.55', '49.50', '47.40', '2793', 'tse']
['1589', '50.70', '48.70', '50.40', '49.40', '1056', 'tse']
['1590', '1,090.00', '1,030.00', '1,090.00', '1,055.00', '963', 'tse']
['1591', '64.30', '61.00', '63.80', '63.00', '833', 'otc']
['1593', '45.25', '43.50', '45.05', '43.90', '42', 'otc']
['1595', '35.00', '34.60', '35.00', '34.60', '35', 'otc']
['1597', '66.60', '64.40', '66.60', '64.60', '537', 'tse']
['1598', '30.80', '29.80', '30.75', '30.10', '347', 'tse']
['1599', '31.95', '31.35', '31.95', '31.40', '47', 'otc']
['1603', '56.30', '49.00', '52.00', '53.10', '45248', 'tse']
['1604', '29.50', '28.40', '29.50', '28.70', '1075', 'tse']
['1605', '40.35', '37.60', '40.00', '38.85', '76977', 'tse']
['1608', '47.45', '40.10', '45.00', '42.45', '160830', 'tse']
['1609', '68.00', '58.50', '66.30', '64.20', '394749', 'tse']
['1611', '18.65', '17.40', '18.55', '18.05', '7606', 'tse']
['1612', '45.40', '40.20', '45.15', '41.10', '72685', 'tse']
['1614', '40.30', '39.40', '39.40', '40.00', '283', 'tse']
['1615', '69.10', '61.60', '68.20', '64.00', '8313', 'tse']
['1616', '28.25', '25.70', '26.65', '28.25', '20657', 'tse']
['1617', '29.95', '28.95', '29.95', '29.95', '10038', 'tse']
['1618', '64.20', '59.00', '63.50', '64.20', '47599', 'tse']
['1626', '16.10', '15.85', '16.10', '15.85', '219', 'tse']
['1701', '21.70', '21.20', '21.70', '21.30', '1054', 'tse']
['1702', '56.60', '55.10', '56.60', '55.80', '621', 'tse']
['1707', '158.50', '153.00', '158.50', '155.00', '478', 'tse']
['1708', '31.05', '30.30', '30.65', '30.45', '1233', 'tse']
['1709', '19.35', '19.05', '19.15', '19.10', '837', 'tse']
['1710', '17.50', '16.80', '17.40', '17.00', '2640', 'tse']
['1711', '20.00', '19.20', '20.00', '19.50', '1479', 'tse']
['1712', '39.85', '38.90', '39.80', '39.05', '1552', 'tse']
['1713', '43.60', '42.65', '43.10', '43.50', '334', 'tse']
['1714', '8.88', '8.67', '8.83', '8.76', '1632', 'tse']
['1717', '31.05', '30.30', '30.95', '30.50', '3698', 'tse']
['1718', '7.38', '7.16', '7.33', '7.23', '3117', 'tse']
['1720', '62.00', '60.50', '62.00', '60.90', '1064', 'tse']
['1721', '14.45', '13.70', '14.40', '14.05', '1335', 'tse']
['1722', '63.90', '62.00', '62.40', '62.40', '6563', 'tse']
['1723', '112.50', '110.50', '112.50', '112.00', '783', 'tse']
['1725', '34.60', '31.80', '34.25', '34.60', '616', 'tse']
['1726', '78.40', '77.60', '77.60', '78.30', '6', 'tse']
['1727', '29.65', '28.40', '29.65', '28.80', '891', 'tse']
['1730', '56.40', '56.00', '56.30', '56.10', '66', 'tse']
['1731', '24.35', '23.60', '24.25', '23.70', '915', 'tse']
['1732', '28.10', '26.40', '27.75', '26.70', '289', 'tse']
['1733', '33.80', '33.00', '33.65', '33.50', '901', 'tse']
['1734', '36.30', '35.30', '36.20', '35.70', '1317', 'tse']
['1735', '16.80', '16.70', '16.80', '16.75', '47', 'tse']
['1736', '77.10', '73.40', '76.90', '74.50', '1103', 'tse']
