['1101', '32.95', '32.45', '32.50', '32.70', '23247', 'tse']
['1102', '42.65', '42.10', '42.10', '42.50', '5701', 'tse']
['1103', '18.00', '17.65', '17.65', '17.85', '572', 'tse']
['1104', '33.20', '32.70', '33.20', '32.95', '2984', 'tse']
['1108', '16.65', '16.45', '16.60', '16.50', '2237', 'tse']
['1109', '20.15', '19.75', '19.85', '20.00', '1259', 'tse']
['1110', '18.60', '18.30', '18.50', '18.35', '115', 'tse']
['1201', '19.00', '18.90', '18.90', '19.00', '133', 'tse']
['1203', '49.90', '49.50', '49.85', '49.85', '17', 'tse']
['1210', '58.30', '57.80', '58.10', '58.00', '1658', 'tse']
['1213', '7.21', '7.12', '7.20', '7.12', '30', 'tse']
['1215', '111.00', '109.50', '110.50', '109.50', '259', 'tse']
['1216', '76.70', '76.10', '76.10', '76.40', '5120', 'tse']
['1217', '12.05', '11.95', '11.95', '12.00', '670', 'tse']
['1218', '22.20', '21.75', '22.10', '21.80', '921', 'tse']
['1219', '18.90', '18.80', '18.90', '18.90', '341', 'tse']
['1220', '15.45', '15.25', '15.25', '15.30', '274', 'tse']
['1225', '56.60', '56.50', '56.50', '56.60', '3', 'tse']
['1227', '38.75', '38.50', '38.70', '38.75', '441', 'tse']
['1229', '68.60', '67.90', '68.00', '68.00', '658', 'tse']
['1231', '98.50', '97.80', '98.20', '97.80', '128', 'tse']
['1232', '146.00', '145.50', '146.00', '146.00', '39', 'tse']
['1233', '34.10', '33.80', '33.95', '33.85', '12', 'tse']
['1234', '42.15', '41.85', '42.00', '41.90', '236', 'tse']
['1235', '82.90', '82.70', '82.70', '82.70', '6', 'tse']
['1236', '23.60', '23.00', '23.55', '23.40', '45', 'tse']
['1240', '53.20', '52.50', '52.50', '53.20', '51', 'otc']
['1256', '233.50', '233.50', '233.50', '233.50', '4', 'tse']
['1259', '75.50', '74.80', '75.00', '74.80', '21', 'otc']
['1264', '305.00', '304.50', '304.50', '304.50', '11', 'otc']
['1268', '155.50', '153.50', '154.00', '154.00', '56', 'otc']
['1301', '72.40', '71.50', '71.80', '72.00', '7614', 'tse']
