['1101', '32.45', '32.00', '32.35', '32.05', '15293', 'tse']
['1102', '43.80', '43.25', '43.60', '43.70', '7910', 'tse']
['1103', '18.60', '18.20', '18.60', '18.40', '1097', 'tse']
['1104', '36.25', '35.15', '35.70', '35.15', '4871', 'tse']
['1108', '17.50', '16.90', '17.30', '16.95', '1302', 'tse']
['1109', '20.15', '19.80', '19.85', '20.00', '871', 'tse']
['1110', '20.20', '20.00', '20.20', '20.20', '244', 'tse']
['1201', '18.95', '18.85', '18.85', '18.95', '398', 'tse']
['1203', '50.00', '49.50', '49.50', '49.95', '11', 'tse']
['1210', '57.90', '57.20', '57.30', '57.20', '1543', 'tse']
['1213', '7.18', '7.06', '7.18', '7.18', '9', 'tse']
['1215', '107.00', '106.00', '107.00', '106.00', '280', 'tse']
['1216', '77.80', '76.50', '76.90', '76.50', '9247', 'tse']
['1217', '12.40', '11.90', '11.95', '12.10', '4078', 'tse']
['1218', '22.30', '21.95', '22.00', '22.25', '1974', 'tse']
['1219', '19.25', '19.05', '19.10', '19.25', '972', 'tse']
['1220', '16.75', '16.05', '16.40', '16.40', '1119', 'tse']
['1225', '60.30', '59.90', '60.00', '60.30', '23', 'tse']
['1227', '38.70', '38.35', '38.70', '38.35', '592', 'tse']
['1229', '66.50', '66.10', '66.30', '66.40', '428', 'tse']
['1231', '98.30', '97.10', '97.50', '98.00', '86', 'tse']
['1232', '145.50', '144.50', '144.50', '145.00', '56', 'tse']
['1233', '33.85', '33.50', '33.55', '33.85', '8', 'tse']
['1234', '42.20', '42.00', '42.20', '42.20', '141', 'tse']
['1235', '82.80', '81.90', '82.80', '82.70', '5', 'tse']
['1236', '24.40', '23.55', '23.55', '23.80', '57', 'tse']
['1240', '52.90', '52.40', '52.80', '52.40', '12', 'otc']
['1256', '220.00', '216.00', '218.00', '216.00', '9', 'tse']
['1259', '75.00', '74.30', '74.30', '74.70', '4', 'otc']
['1264', '300.50', '300.00', '300.50', '300.00', '5', 'otc']
['1268', '156.50', '154.00', '155.50', '156.00', '139', 'otc']
['1301', '69.10', '68.50', '69.00', '68.50', '6015', 'tse']
['1303', '57.20', '56.70', '56.80', '56.70', '7063', 'tse']
['1304', '16.50', '15.85', '16.40', '15.85', '10999', 'tse']
['1305', '18.45', '18.30', '18.45', '18.30', '784', 'tse']
['1307', '30.55', '30.05', '30.30', '30.45', '684', 'tse']
['1308', '19.60', '19.35', '19.50', '19.40', '547', 'tse']
['1309', '15.70', '15.35', '15.70', '15.40', '444', 'tse']
['1310', '13.45', '13.15', '13.45', '13.20', '802', 'tse']
['1312', '13.70', '13.40', '13.70', '13.50', '1835', 'tse']
['1313', '14.05', '13.75', '14.05', '13.75', '1946', 'tse']
['1314', '11.60', '11.00', '11.50', '11.25', '197332', 'tse']
['1315', '71.30', '71.00', '71.00', '71.30', '12', 'tse']
['1316', '21.65', '19.85', '20.95', '20.30', '56391', 'tse']
['1319', '123.50', '119.00', '123.00', '119.00', '4029', 'tse']
['1321', '39.20', '38.60', '39.10', '38.80', '364', 'tse']
['1323', '31.20', '31.00', '31.20', '31.05', '20', 'tse']
['1324', '15.30', '15.00', '15.25', '15.15', '99', 'tse']
['1325', '28.50', '27.85', '28.05', '27.85', '185', 'tse']
['1326', '56.10', '55.10', '55.60', '55.50', '7443', 'tse']
['1336', '19.25', '19.05', '19.15', '19.25', '108', 'otc']
['1337', '7.84', '7.62', '7.84', '7.62', '735', 'tse']
['1338', '33.95', '33.30', '33.55', '33.40', '62', 'tse']
['1339', '78.80', '76.20', '77.90', '77.10', '504', 'tse']
['1340', '10.10', '10.00', '10.05', '10.05', '119', 'tse']
['1341', '65.00', '64.50', '64.50', '65.00', '30', 'tse']
['1342', '121.00', '118.50', '121.00', '120.50', '332', 'tse']
['1402', '33.15', '32.50', '33.10', '32.50', '4297', 'tse']
['1409', '17.35', '17.05', '17.30', '17.10', '4044', 'tse']
['1410', '39.00', '37.35', '37.35', '37.40', '152', 'tse']
['1413', '11.40', '10.55', '11.20', '10.80', '1441', 'tse']
['1414', '21.45', '20.55', '21.20', '20.55', '1034', 'tse']
['1416', '13.75', '13.25', '13.45', '13.40', '1501', 'tse']
['1417', '11.50', '11.30', '11.50', '11.40', '404', 'tse']
['1418', '33.85', '32.70', '33.85', '32.85', '28', 'tse']
['1419', '54.70', '50.10', '54.70', '50.10', '994', 'tse']
['1423', '31.45', '31.25', '31.35', '31.40', '220', 'tse']
['1432', '18.20', '17.90', '18.10', '18.20', '139', 'tse']
['1434', '23.10', '22.70', '23.00', '22.85', '1021', 'tse']
['1435', '47.00', '45.00', '45.00', '47.00', '6', 'tse']
['1436', '148.50', '134.50', '143.00', '145.50', '870', 'tse']
['1437', '33.60', '33.10', '33.60', '33.25', '154', 'tse']
['1438', '57.00', '54.80', '55.70', '55.60', '350', 'tse']
['1439', '28.90', '28.20', '28.90', '28.45', '188', 'tse']
['1440', '20.40', '19.50', '20.10', '19.70', '18111', 'tse']
['1441', '13.35', '13.20', '13.35', '13.25', '59', 'tse']
['1442', '57.90', '54.20', '57.50', '57.90', '4992', 'tse']
['1443', '32.05', '31.65', '31.70', '32.05', '34', 'tse']
['1444', '9.70', '9.54', '9.62', '9.54', '1244', 'tse']
['1445', '24.90', '22.75', '22.80', '24.30', '5870', 'tse']
['1446', '40.50', '39.05', '40.05', '39.80', '1588', 'tse']
['1447', '8.29', '8.10', '8.14', '8.10', '1454', 'tse']
['1449', '18.50', '17.85', '18.50', '17.85', '402', 'tse']
['1451', '20.80', '20.60', '20.75', '20.75', '139', 'tse']
['1452', '17.30', '17.05', '17.10', '17.20', '184', 'tse']
['1453', '25.75', '22.20', '25.40', '22.80', '3748', 'tse']
['1454', '16.10', '15.85', '15.85', '16.05', '52', 'tse']
['1455', '15.70', '14.80', '15.30', '14.90', '4298', 'tse']
['1456', '22.25', '21.10', '22.25', '21.50', '332', 'tse']
['1457', '26.40', '24.20', '26.30', '25.00', '8434', 'tse']
['1459', '12.20', '11.00', '11.10', '12.20', '2825', 'tse']
['1460', '7.96', '7.64', '7.80', '7.90', '939', 'tse']
['1463', '18.35', '18.00', '18.20', '18.20', '353', 'tse']
['1464', '13.50', '13.35', '13.45', '13.40', '144', 'tse']
['1465', '15.45', '15.15', '15.45', '15.15', '249', 'tse']
['1466', '13.30', '12.80', '12.80', '13.20', '246', 'tse']
['1467', '12.25', '12.05', '12.10', '12.10', '1057', 'tse']
['1468', '13.55', '12.10', '12.35', '13.55', '179', 'tse']
['1470', '19.60', '19.25', '19.60', '19.35', '33', 'tse']
['1471', '15.30', '14.90', '15.25', '14.95', '429', 'tse']
['1472', '81.20', '80.20', '80.50', '81.00', '24', 'tse']
['1473', '34.25', '33.30', '34.00', '33.45', '488', 'tse']
['1474', '14.20', '13.80', '14.05', '13.85', '628', 'tse']
['1475', '55.10', '54.70', '55.10', '54.80', '35', 'tse']
['1476', '521.00', '514.00', '516.00', '515.00', '406', 'tse']
['1477', '398.00', '391.00', '394.00', '392.00', '1430', 'tse']
['1503', '300.00', '285.00', '295.00', '292.00', '17614', 'tse']
['1504', '56.70', '55.60', '56.50', '55.60', '12904', 'tse']
['1506', '16.90', '16.35', '16.35', '16.80', '437', 'tse']
['1512', '10.55', '9.95', '10.55', '10.35', '48', 'tse']
['1513', '186.00', '180.50', '185.50', '184.00', '18174', 'tse']
['1514', '148.50', '144.00', '148.50', '146.00', '3410', 'tse']
['1515', '51.90', '50.00', '51.90', '50.50', '1663', 'tse']
['1516', '21.30', '19.45', '21.00', '19.85', '2363', 'tse']
['1517', '16.45', '16.30', '16.35', '16.45', '313', 'tse']
['1519', '853.00', '815.00', '853.00', '847.00', '9281', 'tse']
['1521', '38.40', '38.20', '38.20', '38.30', '8', 'tse']
['1522', '52.40', '50.20', '51.10', '50.20', '5370', 'tse']
['1524', '35.10', '33.90', '34.85', '34.20', '2867', 'tse']
['1525', '71.00', '70.00', '70.00', '70.40', '40', 'tse']
['1526', '34.25', '34.00', '34.10', '34.25', '84', 'tse']
['1527', '41.90', '41.45', '41.45', '41.65', '210', 'tse']
['1528', '12.50', '12.20', '12.45', '12.20', '503', 'tse']
['1529', '34.30', '33.70', '34.00', '34.15', '1165', 'tse']
['1530', '32.60', '32.15', '32.50', '32.45', '104', 'tse']
['1531', '13.50', '13.40', '13.40', '13.45', '32', 'tse']
['1532', '47.95', '45.40', '46.45', '47.50', '10208', 'tse']
['1533', '50.20', '46.20', '46.35', '50.20', '1079', 'tse']
['1535', '78.50', '77.00', '78.50', '77.00', '728', 'tse']
['1536', '56.40', '54.50', '55.50', '54.50', '4625', 'tse']
['1537', '138.00', '137.50', '137.50', '138.00', '41', 'tse']
['1538', '15.25', '14.80', '14.80', '15.25', '27', 'tse']
['1539', '24.95', '24.65', '24.90', '24.80', '239', 'tse']
['1540', '20.45', '20.10', '20.30', '20.40', '539', 'tse']
['1541', '33.90', '33.00', '33.10', '33.30', '66', 'tse']
['1558', '99.20', '98.90', '99.00', '99.00', '63', 'tse']
['1560', '270.00', '253.00', '268.00', '255.00', '6159', 'tse']
['1565', '189.50', '187.50', '189.50', '187.50', '58', 'otc']
['1568', '29.15', '28.60', '28.60', '28.90', '290', 'tse']
['1569', '24.00', '23.80', '24.00', '23.90', '125', 'otc']
['1570', '26.35', '25.50', '25.95', '25.60', '450', 'otc']
['1580', '157.00', '155.00', '155.00', '155.50', '60', 'otc']
['1582', '93.50', '91.20', '92.40', '92.40', '3206', 'tse']
['1583', '73.70', '72.80', '72.80', '73.70', '47', 'tse']
['1584', '34.95', '34.70', '34.85', '34.75', '1330', 'otc']
['1586', '32.10', '31.80', '31.95', '32.00', '169', 'otc']
['1587', '65.20', '59.70', '61.90', '61.50', '12349', 'tse']
['1589', '48.35', '47.60', '48.00', '47.80', '715', 'tse']
['1590', '1,190.00', '1,130.00', '1,130.00', '1,160.00', '554', 'tse']
['1591', '63.00', '60.70', '61.00', '61.80', '256', 'otc']
['1593', '44.60', '44.20', '44.25', '44.35', '15', 'otc']
['1595', '35.40', '35.10', '35.20', '35.10', '10', 'otc']
['1597', '69.60', '67.20', '68.10', '68.20', '1196', 'tse']
['1598', '30.85', '30.70', '30.85', '30.80', '73', 'tse']
['1599', '31.70', '31.55', '31.65', '31.55', '19', 'otc']
['1603', '45.30', '44.10', '45.10', '44.15', '3762', 'tse']
['1604', '29.35', '28.95', '29.15', '29.00', '894', 'tse']
['1605', '37.55', '36.80', '37.50', '36.90', '21540', 'tse']
['1608', '36.85', '35.80', '36.65', '36.05', '9572', 'tse']
['1609', '57.90', '55.20', '57.40', '56.90', '48285', 'tse']
['1611', '17.30', '17.15', '17.30', '17.15', '649', 'tse']
['1612', '36.95', '36.15', '36.95', '36.70', '5044', 'tse']
['1614', '41.60', '40.85', '41.60', '41.00', '205', 'tse']
['1615', '58.80', '57.60', '58.80', '58.00', '471', 'tse']
['1616', '26.25', '23.70', '25.10', '26.20', '4302', 'tse']
['1617', '25.10', '23.50', '24.10', '24.90', '1323', 'tse']
['1618', '54.70', '51.90', '54.20', '53.20', '11053', 'tse']
['1626', '16.20', '16.00', '16.20', '16.05', '113', 'tse']
['1701', '22.10', '21.90', '22.05', '21.95', '380', 'tse']
['1702', '61.40', '60.80', '61.30', '60.80', '621', 'tse']
['1707', '157.50', '156.50', '157.50', '156.50', '107', 'tse']
['1708', '32.00', '31.70', '31.70', '31.70', '875', 'tse']
['1709', '19.60', '19.50', '19.55', '19.55', '208', 'tse']
['1710', '17.65', '17.35', '17.65', '17.35', '706', 'tse']
['1711', '20.60', '20.25', '20.50', '20.30', '1065', 'tse']
['1712', '41.45', '40.15', '40.90', '40.60', '2988', 'tse']
['1713', '48.90', '47.00', '47.80', '48.10', '383', 'tse']
['1714', '9.00', '8.94', '8.97', '8.96', '1113', 'tse']
['1717', '31.85', '31.45', '31.80', '31.70', '2754', 'tse']
['1718', '7.81', '7.62', '7.80', '7.66', '3902', 'tse']
['1720', '63.40', '63.10', '63.10', '63.20', '198', 'tse']
['1721', '14.45', '14.25', '14.45', '14.25', '773', 'tse']
['1722', '66.90', '65.30', '66.60', '65.40', '3652', 'tse']
['1723', '114.50', '112.50', '114.50', '113.00', '452', 'tse']
['1725', '51.30', '44.25', '49.60', '49.20', '7635', 'tse']
['1726', '79.00', '78.30', '78.30', '79.00', '12', 'tse']
['1727', '30.55', '29.75', '30.50', '29.85', '500', 'tse']
['1730', '56.50', '56.20', '56.30', '56.30', '25', 'tse']
['1731', '26.05', '25.75', '25.95', '25.75', '382', 'tse']
['1732', '27.85', '27.65', '27.85', '27.70', '87', 'tse']
['1733', '34.35', '33.60', '34.25', '33.65', '417', 'tse']
['1734', '37.10', '36.85', '37.00', '37.00', '347', 'tse']
['1735', '17.70', '17.25', '17.70', '17.40', '24', 'tse']
['1736', '84.30', '82.20', '84.30', '83.40', '1159', 'tse']
['1737', '34.45', '34.05', '34.20', '34.10', '447', 'tse']
['1742', '18.15', '18.05', '18.10', '18.15', '87', 'otc']
['1752', '45.50', '45.05', '45.50', '45.30', '73', 'tse']
['1760', '98.00', '96.10', '98.00', '96.10', '494', 'tse']
['1762', '46.20', '45.80', '46.10', '46.15', '217', 'tse']
['1773', '178.00', '173.00', '178.00', '174.00', '551', 'tse']
['1776', '18.00', '17.65', '18.00', '17.70', '81', 'tse']
['1777', '84.70', '84.00', '84.10', '84.30', '13', 'otc']
['1781', '15.70', '15.20', '15.20', '15.55', '95', 'otc']
['1783', '42.90', '42.55', '42.60', '42.90', '63', 'tse']
['1784', '65.70', '64.10', '65.70', '64.20', '239', 'otc']
['1785', '44.95', '44.50', '44.85', '44.50', '1966', 'otc']
['1786', '108.00', '106.00', '107.50', '107.00', '430', 'tse']
['1788', '140.50', '139.50', '140.00', '140.50', '33', 'otc']
['1789', '29.30', '28.65', '29.30', '28.70', '1660', 'tse']
['1795', '330.00', '322.50', '327.00', '323.00', '3478', 'tse']
['1796', '55.70', '55.10', '55.60', '55.20', '29', 'otc']
['1799', '72.50', '67.50', '67.50', '71.30', '435', 'otc']
['1802', '17.35', '17.10', '17.30', '17.15', '1571', 'tse']
['1805', '21.35', '19.80', '21.05', '20.60', '1161', 'tse']
['1806', '11.55', '11.00', '11.35', '11.15', '752', 'tse']
['1808', '115.50', '112.00', '115.00', '114.00', '3348', 'tse']
['1809', '25.85', '25.10', '25.60', '25.60', '1374', 'tse']
['1810', '19.75', '19.30', '19.65', '19.45', '1507', 'tse']
['1813', '20.10', '20.00', '20.10', '20.05', '31', 'otc']
['1815', '19.05', '18.10', '18.60', '18.20', '10842', 'otc']
['1817', '39.35', '37.60', '39.10', '37.80', '650', 'tse']
['1903', '67.50', '64.20', '67.10', '65.60', '3191', 'tse']
['1904', '29.35', '29.10', '29.35', '29.20', '492', 'tse']
['1905', '23.95', '23.15', '23.90', '23.15', '6816', 'tse']
['1906', '15.95', '15.85', '15.95', '15.90', '203', 'tse']
['1907', '31.70', '30.90', '31.65', '31.05', '2159', 'tse']
['1909', '15.90', '15.55', '15.90', '15.60', '2254', 'tse']
['2002', '25.10', '24.85', '24.95', '24.85', '23346', 'tse']
['2006', '74.30', '73.30', '73.80', '73.30', '2017', 'tse']
['2007', '12.00', '11.70', '11.95', '11.70', '760', 'tse']
['2008', '24.05', '23.25', '24.05', '23.40', '89', 'tse']
['2009', '50.70', '48.75', '49.50', '49.30', '26306', 'tse']
['2010', '22.75', '21.95', '22.50', '22.55', '2807', 'tse']
['2012', '24.15', '24.00', '24.10', '24.15', '40', 'tse']
['2013', '62.10', '61.50', '62.10', '61.80', '136', 'tse']
['2014', '23.65', '23.25', '23.60', '23.25', '3518', 'tse']
['2015', '71.30', '69.70', '69.70', '70.40', '333', 'tse']
['2017', '15.75', '15.25', '15.70', '15.25', '2116', 'tse']
['2020', '40.35', '39.70', '40.35', '39.70', '1788', 'tse']
['2022', '12.50', '12.25', '12.40', '12.25', '550', 'tse']
['2023', '15.60', '15.35', '15.60', '15.40', '982', 'tse']
['2024', '22.10', '21.75', '22.10', '21.85', '69', 'tse']
['2025', '11.25', '10.95', '11.25', '10.95', '1272', 'tse']
['2027', '37.30', '36.75', '37.25', '36.80', '3890', 'tse']
['2028', '27.05', '26.50', '26.95', '26.60', '322', 'tse']
['2029', '29.25', '29.00', '29.00', '29.25', '276', 'tse']
['2030', '19.15', '18.95', '19.00', '19.05', '297', 'tse']
['2031', '60.50', '58.50', '59.40', '58.80', '3965', 'tse']
['2032', '17.80', '17.55', '17.70', '17.60', '121', 'tse']
['2033', '17.10', '16.60', '17.05', '16.70', '201', 'tse']
['2034', '25.45', '25.25', '25.35', '25.40', '339', 'tse']
['2035', '32.90', '32.50', '32.90', '32.90', '27', 'otc']
['2038', '21.20', '20.45', '21.20', '20.50', '881', 'tse']
['2049', '234.50', '231.50', '231.50', '231.50', '1073', 'tse']
['2059', '1,260.00', '1,190.00', '1,190.00', '1,230.00', '1367', 'tse']
['2061', '22.30', '20.75', '22.30', '21.00', '532', 'otc']
['2062', '30.00', '29.00', '30.00', '29.25', '556', 'tse']
['2063', '58.50', '57.50', '57.50', '57.80', '155', 'otc']
['2064', '15.20', '14.95', '15.20', '15.10', '47', 'otc']
['2065', '63.70', '63.20', '63.30', '63.40', '81', 'otc']
['2066', '154.00', '145.50', '147.50', '147.50', '2158', 'otc']
['2067', '12.50', '12.20', '12.40', '12.45', '43', 'otc']
['2069', '16.60', '16.40', '16.60', '16.50', '120', 'tse']
['2070', '33.75', '33.00', '33.50', '33.35', '53', 'otc']
['2073', '30.35', '29.95', '30.35', '29.95', '9', 'otc']
['2101', '60.50', '58.20', '59.90', '58.80', '33251', 'tse']
['2102', '20.35', '19.40', '20.35', '19.65', '1943', 'tse']
['2103', '24.40', '23.90', '24.40', '24.10', '7136', 'tse']
['2104', '18.40', '17.95', '18.00', '17.95', '3560', 'tse']
['2105', '47.40', '46.35', '46.45', '47.15', '5844', 'tse']
['2106', '33.35', '33.10', '33.10', '33.25', '367', 'tse']
['2107', '27.05', '26.30', '27.05', '26.70', '956', 'tse']
['2108', '34.25', '33.35', '34.20', '33.35', '2605', 'tse']
['2109', '17.10', '16.85', '16.85', '16.95', '348', 'tse']
['2114', '107.00', '106.50', '107.00', '106.50', '32', 'tse']
['2115', '32.00', '31.05', '31.15', '31.95', '608', 'tse']
['2201', '69.90', '68.30', '69.80', '68.70', '4624', 'tse']
['2204', '145.00', '138.50', '141.00', '143.50', '3006', 'tse']
['2206', '86.20', '84.00', '86.20', '84.40', '11740', 'tse']
['2207', '625.00', '617.00', '618.00', '620.00', '325', 'tse']
['2208', '18.30', '18.15', '18.30', '18.20', '1402', 'tse']
['2211', '149.50', '146.00', '148.00', '148.50', '1152', 'tse']
['2221', '33.40', '33.10', '33.10', '33.20', '14', 'otc']
['2227', '131.50', '129.00', '129.00', '131.00', '39', 'tse']
['2228', '98.30', '97.30', '97.90', '98.10', '125', 'tse']
['2230', '173.00', '165.00', '166.00', '173.00', '1152', 'otc']
['2231', '116.50', '110.00', '110.00', '112.00', '1692', 'tse']
['2233', '132.50', '127.50', '129.00', '131.50', '268', 'tse']
['2235', '----', '----', '----', '----', '0', 'otc']
['2236', '74.10', '72.30', '73.20', '73.30', '492', 'tse']
['2239', '58.90', '57.50', '58.30', '57.90', '64', 'tse']
['2241', '48.10', '44.80', '46.25', '46.65', '6872', 'tse']
['2243', '14.10', '13.90', '14.10', '14.00', '36', 'tse']
['2247', '332.00', '323.00', '324.00', '331.00', '296', 'tse']
['2250', '105.00', '101.50', '103.00', '101.50', '94', 'tse']
['2254', '91.90', '87.00', '87.20', '91.90', '361', 'tse']
['2258', '43.35', '42.60', '43.15', '42.70', '286', 'tse']
['2301', '102.50', '100.00', '101.50', '100.00', '7041', 'tse']
['2302', '17.40', '17.10', '17.35', '17.20', '118', 'tse']
