['1101', '32.65', '31.90', '32.00', '32.60', '20157', 'tse']
['1102', '42.70', '42.10', '42.20', '42.70', '8049', 'tse']
['1103', '18.00', '17.70', '17.75', '17.80', '775', 'tse']
['1104', '33.75', '33.05', '33.30', '33.40', '1442', 'tse']
['1108', '17.40', '16.75', '16.80', '16.95', '3447', 'tse']
['1109', '19.50', '19.20', '19.30', '19.40', '567', 'tse']
['1110', '19.20', '18.50', '18.65', '18.90', '289', 'tse']
['1201', '18.80', '18.35', '18.35', '18.70', '609', 'tse']
['1203', '47.80', '47.05', '47.80', '47.60', '9', 'tse']
['1210', '56.90', '55.90', '56.20', '56.40', '4127', 'tse']
['1213', '7.23', '7.20', '7.20', '7.23', '93', 'tse']
['1215', '105.00', '102.50', '103.50', '103.50', '400', 'tse']
['1216', '78.90', '76.50', '76.50', '78.90', '13819', 'tse']
['1217', '11.95', '11.70', '11.75', '11.95', '1530', 'tse']
['1218', '21.25', '20.60', '20.75', '21.10', '1220', 'tse']
['1219', '18.85', '18.70', '18.80', '18.85', '378', 'tse']
['1220', '15.15', '14.90', '15.00', '15.05', '372', 'tse']
['1225', '58.30', '57.20', '58.30', '57.80', '20', 'tse']
['1227', '37.65', '37.15', '37.40', '37.60', '541', 'tse']
['1229', '65.80', '65.00', '65.00', '65.50', '992', 'tse']
['1231', '97.80', '95.70', '95.80', '97.40', '252', 'tse']
['1232', '144.50', '143.50', '144.50', '144.50', '61', 'tse']
['1233', '33.30', '33.00', '33.30', '33.10', '23', 'tse']
['1234', '41.55', '41.25', '41.55', '41.45', '92', 'tse']
['1235', '81.90', '81.40', '81.70', '81.90', '3', 'tse']
['1236', '23.40', '23.30', '23.40', '23.30', '87', 'tse']
['1240', '51.50', '50.80', '50.80', '51.00', '38', 'otc']
['1256', '213.00', '208.00', '213.00', '208.00', '34', 'tse']
['1259', '73.80', '73.50', '73.60', '73.70', '6', 'otc']
['1264', '300.00', '298.00', '299.50', '300.00', '17', 'otc']
['1268', '149.00', '147.50', '148.00', '148.00', '38', 'otc']
['1301', '69.90', '67.60', '67.90', '69.70', '11046', 'tse']
['1303', '57.60', '56.10', '56.10', '57.30', '10628', 'tse']
['1304', '16.55', '16.00', '16.00', '16.25', '2337', 'tse']
['1305', '18.35', '17.90', '18.00', '18.20', '2331', 'tse']
['1307', '29.40', '28.30', '28.60', '29.40', '673', 'tse']
['1308', '19.30', '18.70', '18.75', '19.05', '1671', 'tse']
['1309', '15.50', '15.05', '15.05', '15.45', '696', 'tse']
['1310', '13.20', '12.85', '12.85', '13.05', '900', 'tse']
['1312', '13.30', '12.95', '12.95', '13.15', '3597', 'tse']
['1313', '13.60', '13.20', '13.25', '13.45', '1292', 'tse']
['1314', '10.50', '9.90', '9.90', '10.20', '113555', 'tse']
['1315', '71.40', '70.60', '71.40', '70.90', '31', 'tse']
['1316', '19.15', '17.75', '17.80', '19.15', '12089', 'tse']
['1319', '126.50', '120.00', '123.00', '121.00', '4244', 'tse']
['1321', '38.20', '36.85', '37.05', '37.35', '773', 'tse']
['1323', '31.20', '31.00', '31.10', '31.10', '57', 'tse']
['1324', '15.15', '14.90', '15.00', '14.95', '141', 'tse']
['1325', '28.80', '27.90', '28.00', '28.30', '829', 'tse']
['1326', '55.30', '53.00', '53.10', '55.10', '10811', 'tse']
['1336', '19.80', '19.15', '19.35', '19.20', '68', 'otc']
['1337', '7.32', '7.12', '7.22', '7.21', '620', 'tse']
['1338', '34.50', '33.10', '33.10', '33.65', '74', 'tse']
['1339', '72.00', '67.00', '69.40', '68.10', '777', 'tse']
['1340', '10.05', '9.93', '9.93', '9.99', '106', 'tse']
['1341', '63.00', '62.80', '63.00', '63.00', '16', 'tse']
['1342', '124.50', '121.00', '122.50', '121.00', '317', 'tse']
['1402', '32.50', '31.60', '31.70', '32.40', '4892', 'tse']
