['1101', '32.20', '31.80', '32.10', '32.00', '17832', 'tse']
['1102', '42.85', '42.10', '42.40', '42.50', '2748', 'tse']
['1103', '17.95', '17.75', '17.80', '17.85', '280', 'tse']
['1104', '34.10', '33.70', '33.70', '33.85', '1119', 'tse']
['1108', '17.10', '16.85', '16.90', '16.90', '1050', 'tse']
['1109', '19.50', '19.35', '19.50', '19.40', '226', 'tse']
['1110', '20.05', '19.10', '19.10', '19.90', '652', 'tse']
['1201', '18.80', '18.60', '18.70', '18.75', '183', 'tse']
['1203', '48.55', '47.70', '47.70', '48.55', '13', 'tse']
['1210', '57.40', '56.60', '57.00', '57.40', '1200', 'tse']
['1213', '7.17', '7.13', '7.13', '7.13', '24', 'tse']
['1215', '105.00', '103.50', '105.00', '104.00', '178', 'tse']
['1216', '76.70', '76.00', '76.50', '76.10', '6832', 'tse']
['1217', '11.90', '11.80', '11.90', '11.85', '578', 'tse']
['1218', '21.60', '21.20', '21.25', '21.45', '970', 'tse']
['1219', '18.95', '18.85', '18.90', '18.90', '236', 'tse']
['1220', '15.55', '15.35', '15.55', '15.45', '326', 'tse']
['1225', '58.40', '58.00', '58.40', '58.40', '20', 'tse']
['1227', '38.25', '37.90', '37.95', '38.25', '412', 'tse']
['1229', '66.20', '65.30', '66.20', '65.50', '775', 'tse']
['1231', '97.50', '96.60', '97.50', '96.90', '96', 'tse']
['1232', '145.00', '144.00', '144.50', '145.00', '27', 'tse']
['1233', '33.35', '33.10', '33.10', '33.30', '7', 'tse']
['1234', '42.00', '41.90', '42.00', '41.95', '95', 'tse']
['1235', '82.40', '81.70', '81.70', '82.40', '6', 'tse']
['1236', '23.80', '23.60', '23.60', '23.70', '39', 'tse']
['1240', '52.70', '51.80', '52.70', '52.20', '43', 'otc']
['1256', '214.00', '210.00', '214.00', '211.00', '13', 'tse']
['1259', '74.00', '73.90', '73.90', '74.00', '3', 'otc']
['1264', '301.50', '299.50', '300.50', '301.50', '7', 'otc']
['1268', '154.00', '152.00', '152.00', '152.50', '72', 'otc']
['1301', '68.50', '67.50', '68.50', '67.90', '7511', 'tse']
['1303', '56.40', '55.40', '56.20', '55.80', '5419', 'tse']
['1304', '16.20', '16.00', '16.20', '16.05', '1497', 'tse']
['1305', '18.05', '17.90', '18.05', '17.90', '762', 'tse']
['1307', '29.65', '29.15', '29.30', '29.25', '235', 'tse']
['1308', '19.20', '18.95', '19.05', '19.10', '407', 'tse']
['1309', '15.30', '15.15', '15.30', '15.20', '324', 'tse']
['1310', '13.25', '13.10', '13.10', '13.20', '357', 'tse']
['1312', '13.20', '13.05', '13.20', '13.20', '1105', 'tse']
['1313', '13.55', '13.35', '13.45', '13.45', '819', 'tse']
['1314', '10.20', '10.05', '10.15', '10.10', '13504', 'tse']
['1315', '71.20', '70.90', '71.20', '70.90', '7', 'tse']
['1316', '19.60', '18.35', '18.55', '18.70', '16198', 'tse']
['1319', '120.00', '115.00', '117.50', '117.50', '2851', 'tse']
['1321', '38.30', '37.15', '37.80', '38.25', '802', 'tse']
['1323', '31.20', '31.00', '31.10', '31.20', '21', 'tse']
['1324', '15.60', '15.20', '15.40', '15.50', '154', 'tse']
['1325', '28.20', '27.70', '28.20', '27.70', '233', 'tse']
['1326', '54.90', '53.70', '54.60', '54.00', '4253', 'tse']
['1336', '19.45', '19.25', '19.30', '19.30', '50', 'otc']
['1337', '7.84', '7.42', '7.62', '7.75', '1778', 'tse']
['1338', '33.50', '33.25', '33.25', '33.45', '18', 'tse']
['1339', '75.70', '71.00', '72.30', '75.00', '1356', 'tse']
['1340', '10.05', '9.99', '10.05', '9.99', '69', 'tse']
['1341', '63.80', '63.50', '63.80', '63.80', '17', 'tse']
['1342', '124.00', '121.50', '123.00', '122.00', '272', 'tse']
['1402', '32.45', '32.05', '32.20', '32.15', '3378', 'tse']
['1409', '16.95', '16.65', '16.65', '16.70', '6650', 'tse']
['1410', '36.15', '35.70', '35.70', '35.85', '51', 'tse']
['1413', '9.20', '9.02', '9.03', '9.20', '58', 'tse']
['1414', '20.70', '19.50', '19.90', '20.40', '1376', 'tse']
['1416', '13.25', '12.95', '13.20', '13.00', '701', 'tse']
['1417', '11.25', '11.10', '11.25', '11.20', '186', 'tse']
['1418', '32.70', '32.10', '32.70', '32.20', '29', 'tse']
['1419', '50.80', '50.00', '50.10', '50.50', '63', 'tse']
['1423', '31.25', '31.00', '31.25', '31.25', '40', 'tse']
['1432', '17.85', '17.60', '17.85', '17.65', '131', 'tse']
['1434', '22.65', '22.40', '22.50', '22.45', '988', 'tse']
['1435', '47.50', '47.50', '47.50', '47.50', '2', 'tse']
['1436', '134.00', '122.50', '123.00', '130.50', '976', 'tse']
['1437', '32.70', '32.50', '32.70', '32.50', '126', 'tse']
['1438', '54.30', '53.20', '53.20', '53.30', '205', 'tse']
['1439', '28.15', '27.10', '27.10', '28.00', '120', 'tse']
['1440', '19.30', '17.60', '17.80', '19.30', '57383', 'tse']
['1441', '13.05', '12.95', '13.00', '13.05', '45', 'tse']
['1442', '53.90', '51.30', '51.90', '53.00', '3548', 'tse']
['1443', '31.40', '30.25', '30.50', '31.10', '120', 'tse']
['1444', '9.44', '9.31', '9.32', '9.40', '921', 'tse']
['1445', '22.30', '22.05', '22.20', '22.15', '300', 'tse']
['1446', '35.75', '34.65', '34.75', '35.25', '198', 'tse']
['1447', '8.08', '7.96', '8.00', '8.05', '1584', 'tse']
['1449', '19.05', '18.20', '18.45', '18.20', '424', 'tse']
['1451', '20.30', '20.05', '20.15', '20.25', '101', 'tse']
['1452', '17.00', '16.85', '16.90', '16.85', '100', 'tse']
['1453', '23.50', '21.25', '21.25', '23.50', '1971', 'tse']
['1454', '15.65', '15.55', '15.55', '15.60', '4', 'tse']
['1455', '14.90', '14.35', '14.75', '14.75', '4524', 'tse']
['1456', '22.10', '21.20', '21.45', '21.45', '390', 'tse']
['1457', '23.65', '21.70', '22.45', '23.15', '8183', 'tse']
['1459', '10.85', '9.81', '9.91', '10.85', '1609', 'tse']
['1460', '7.83', '7.76', '7.77', '7.81', '171', 'tse']
['1463', '18.35', '18.05', '18.25', '18.30', '65', 'tse']
['1464', '13.05', '12.95', '13.00', '12.95', '166', 'tse']
['1465', '15.10', '15.00', '15.10', '15.10', '85', 'tse']
['1466', '12.40', '12.20', '12.20', '12.35', '57', 'tse']
['1467', '12.45', '11.70', '11.70', '12.35', '2714', 'tse']
['1468', '12.30', '11.95', '12.30', '12.10', '42', 'tse']
['1470', '20.15', '20.10', '20.15', '20.10', '4', 'tse']
['1471', '15.10', '14.70', '14.90', '14.80', '308', 'tse']
['1472', '83.10', '81.20', '81.40', '82.30', '121', 'tse']
['1473', '33.80', '32.20', '33.50', '32.55', '1187', 'tse']
['1474', '13.20', '13.00', '13.20', '13.10', '894', 'tse']
['1475', '55.00', '54.00', '54.20', '54.00', '173', 'tse']
['1476', '514.00', '503.00', '510.00', '511.00', '533', 'tse']
['1477', '401.00', '389.00', '391.50', '389.50', '2626', 'tse']
['1503', '322.50', '306.00', '313.00', '316.50', '14830', 'tse']
['1504', '59.10', '58.10', '59.10', '58.10', '11325', 'tse']
['1506', '16.20', '16.05', '16.20', '16.15', '90', 'tse']
['1512', '10.70', '10.40', '10.60', '10.60', '24', 'tse']
['1513', '194.50', '189.00', '192.00', '191.00', '18236', 'tse']
['1514', '160.00', '155.00', '156.00', '157.50', '2369', 'tse']
['1515', '50.20', '49.15', '49.65', '49.45', '808', 'tse']
['1516', '17.35', '17.05', '17.10', '17.35', '63', 'tse']
['1517', '16.65', '16.25', '16.25', '16.30', '556', 'tse']
['1519', '864.00', '816.00', '853.00', '863.00', '9622', 'tse']
['1521', '38.15', '37.50', '37.55', '38.00', '23', 'tse']
['1522', '49.35', '48.00', '48.50', '48.20', '1976', 'tse']
['1524', '35.20', '34.50', '34.80', '34.90', '1615', 'tse']
['1525', '70.10', '69.30', '70.00', '69.30', '11', 'tse']
['1526', '35.25', '34.90', '34.90', '34.90', '161', 'tse']
['1527', '41.50', '41.35', '41.40', '41.50', '249', 'tse']
['1528', '12.15', '11.90', '12.15', '11.95', '476', 'tse']
['1529', '35.40', '34.60', '35.30', '34.70', '1945', 'tse']
['1530', '32.05', '31.95', '32.05', '32.00', '27', 'tse']
['1531', '13.55', '13.35', '13.55', '13.55', '76', 'tse']
['1532', '44.75', '43.00', '43.00', '44.00', '6918', 'tse']
['1533', '45.50', '45.00', '45.45', '45.25', '68', 'tse']
['1535', '80.20', '78.70', '80.00', '79.00', '645', 'tse']
['1536', '55.30', '53.90', '55.20', '54.10', '2013', 'tse']
['1537', '138.00', '135.50', '138.00', '138.00', '164', 'tse']
['1538', '16.05', '15.30', '15.90', '15.75', '124', 'tse']
['1539', '24.50', '24.15', '24.45', '24.15', '147', 'tse']
['1540', '20.45', '20.10', '20.40', '20.20', '483', 'tse']
['1541', '32.00', '31.90', '32.00', '31.90', '4', 'tse']
['1558', '98.60', '97.60', '97.70', '98.20', '74', 'tse']
['1560', '263.50', '243.00', '243.00', '257.50', '9302', 'tse']
['1565', '185.00', '182.50', '184.50', '184.00', '71', 'otc']
['1568', '28.60', '28.20', '28.60', '28.25', '198', 'tse']
['1569', '24.10', '23.75', '23.75', '23.95', '258', 'otc']
['1570', '25.55', '24.90', '25.40', '25.25', '463', 'otc']
['1580', '154.00', '153.50', '153.50', '153.50', '28', 'otc']
['1582', '90.60', '89.40', '90.60', '89.60', '847', 'tse']
['1583', '71.90', '70.50', '70.50', '71.90', '54', 'tse']
['1584', '35.00', '34.30', '34.80', '34.40', '1833', 'otc']
['1586', '31.90', '31.60', '31.80', '31.60', '42', 'otc']
['1587', '56.70', '54.00', '56.70', '56.70', '7454', 'tse']
['1589', '49.05', '48.35', '49.05', '48.80', '435', 'tse']
['1590', '1,110.00', '1,095.00', '1,110.00', '1,105.00', '518', 'tse']
['1591', '62.00', '60.80', '62.00', '61.20', '164', 'otc']
['1593', '45.20', '44.65', '45.20', '44.95', '11', 'otc']
['1595', '34.90', '34.80', '34.85', '34.80', '9', 'otc']
['1597', '66.70', '65.00', '65.80', '65.30', '327', 'tse']
['1598', '31.30', '31.00', '31.30', '31.00', '78', 'tse']
['1599', '31.70', '31.50', '31.70', '31.55', '39', 'otc']
['1603', '47.40', '46.20', '47.05', '46.35', '4339', 'tse']
['1604', '29.55', '29.05', '29.55', '29.15', '621', 'tse']
